entity_type,form,intensity,weight,min_danger,max_danger,triggers_roll,prose_hint
insects,attacks,4,3,1,5,True,A struck or disturbed nest erupts; the swarm comes as a storm of stings.
giant_spiders,sign_only,0,3,0,5,False,"Webbing strung across the path, husks of drained prey, a wood gone silent and sticky."
giant_spiders,watches,2,2,2,5,False,Eyes in the dark and a stillness wrong for any forest — something patient overhead or ahead.
giant_spiders,stalks,3,2,2,5,False,"It paces them unseen through the branches, drawing the net of its web tighter."
giant_spiders,attacks,4,4,2,5,True,"It drops or rushes from ambush, fast and venomous, to bind and poison — a deadly thing."
riding_animals,sign_only,0,1,0,5,False,"Hoofprints and dung on a droving-road, a picket-line lately struck."
riding_animals,glimpsed_far,0,2,0,5,False,"A wild herd running the open plain, manes streaming, or beasts grazing under herders' watch."
riding_animals,observed_activity,1,3,0,5,False,"Grazing, watering, foaling — half-wild horses or the great beasts of the South at their ease."
riding_animals,reacts_withdraws,1,2,0,3,False,"The herd wheels and is gone, thunder fading across the grass."
riding_animals,attacks,4,1,2,5,True,"A war-trained or maddened mount turns on him, or a great beast charges with terrible weight."
other_animals,sign_only,0,2,0,5,False,"Tracks, a burrow-mound, gnawed nuts, a den lately used."
other_animals,glimpsed_far,0,2,0,5,False,"A small shape at the wood's edge or a head raised atop a mound, watching."
other_animals,observed_activity,1,4,0,5,False,"Foraging, denning, at play — busy and harmless, comic or wary by turns."
other_animals,reacts_withdraws,1,3,0,3,False,"It freezes, then bolts for cover the moment it knows it is seen."
other_animals,attacks,4,1,2,5,True,"A bold or blood-hungry beast turns aggressor — rare, but not to be ignored."
humans,sign_only,0,3,0,5,False,"Smoke from a hearth, cart-ruts, a field lately worked — folk near, but unseen."
humans,glimpsed_far,0,2,0,5,False,"Figures on a far road or ridge, about their own business, not approached."
humans,observed_activity,1,4,0,5,False,"Met at their work — herding, mending, driving cattle, making camp — noticed more than joined."
humans,brief_exchange,2,4,0,2,False,"A short, wary meeting; a few words traded on the road, then each goes on."
humans,aid_or_trade,2,2,0,1,False,"They offer news, food, trade or a place by the fire — to take or to refuse."
humans,confronts,3,2,2,5,False,Armed men bar the way or demand toll; a standoff that may yet come to blades.
humans,attacks,4,2,2,5,True,"They mean harm — a raid, an ambush, a robbery — and steel is drawn in earnest."
elves,sign_only,0,1,0,5,False,"A sign meant to be missed: a mark on a tree, a path too well-kept to be chance."
elves,glimpsed_far,0,2,0,5,False,"Figures at the wood's edge or on a far hill, there and then not, as if the dusk moved."
elves,observed_activity,1,2,0,5,False,"Glimpsed at song, at the hunt, or tending some hidden work, unaware or unbothered by him."
elves,watches,2,2,0,5,False,He feels watched long before he is greeted; unseen eyes weigh him on their own ground.
elves,brief_exchange,2,3,0,5,False,"A courteous, measured meeting — grace and reserve both, and few words wasted."
elves,aid_or_trade,2,2,0,1,False,"Counsel, healing, shelter or safe passage offered to one judged worthy."
elves,attacks,4,1,2,5,True,"Only the renegade or the hostile draws on him — swift, precise, and rare."
dwarves,sign_only,0,2,0,5,False,"Pick-marks on stone, a spoil-heap, a guarded ore-road, a cold camp neatly struck."
dwarves,glimpsed_far,0,2,0,5,False,"A laden party on the road, or a watch posted at a mine-mouth, eyeing his approach."
dwarves,observed_activity,1,3,0,5,False,"At the march, the trade, or the work — blunt, busy, keeping their own counsel."
dwarves,brief_exchange,2,4,0,3,False,"A gruff, guarded meeting; honest words, hard bargaining, slow trust."
dwarves,aid_or_trade,2,2,0,1,False,"Trade, news or the loan of a strong arm, offered once a man proves fair."
dwarves,confronts,3,1,2,5,False,"A patrol challenges him sharply at the gate of their holds, hands near their axes."
hobbits,sign_only,0,2,0,5,False,"A trim hedge, a wisp of pipe-smoke, a garden too neat for the wild — folk near, well-hidden."
hobbits,glimpsed_far,0,2,0,5,False,A small figure that ducks from sight the moment it is noticed.
hobbits,observed_activity,1,3,0,5,False,"At a meal, a chore or a quiet errand, soft-spoken and easily overlooked."
hobbits,reacts_withdraws,1,3,0,5,False,Gone into the bracken before he is sure they were ever there.
hobbits,brief_exchange,2,3,0,5,False,"A shy, kindly word or two from folk who would rather be left to their own business."
orcs,sign_only,0,3,0,5,False,"Trampled ground, a reeking dead fire, gnawed bones, the stink of them on the wind."
orcs,sound_only,0,2,0,5,False,"Harsh voices, a drum, a tramping in the dark — heard before they are seen."
orcs,glimpsed_far,0,2,0,5,False,"A file of them on a far slope or skyline, moving by night, shunning the open sun."
orcs,watches,2,1,3,5,False,"He is being hunted: sign too fresh, the wood too quiet — they know he is here."
orcs,stalks,3,2,3,5,False,"A patrol picks up his trail and dogs it, closing slowly through cover."
orcs,confronts,3,1,3,5,False,"They block a pass or a gate and call challenge, jeering, hungry for sport."
orcs,attacks,4,4,3,5,True,"They rush him with blade and bow — no parley, only slaughter or capture."
trolls,sign_only,0,2,0,5,False,"A reeking den of cracked bones, uprooted trees, boulders flung and shattered."
trolls,sound_only,0,2,0,5,False,A heavy crashing and a dull bellow somewhere off in the dark.
trolls,glimpsed_far,0,2,0,5,False,"A huge, hunched shape against the night, or a man-shaped stone that was not there before."
trolls,stalks,3,1,3,5,False,"It lumbers after him through the dark, slow but tireless, between him and the open."
trolls,attacks,4,4,3,5,True,"It comes on with club or fist, vast and murderous — to be outlasted or outrun more than fought."
giants,sign_only,0,2,0,5,False,"Footprints a man could lie in, a hillside re-shaped, boulders left where none should be."
giants,sound_only,0,2,0,5,False,"A booming far off in the heights — laughter, or stones flung in some careless game."
giants,glimpsed_far,0,3,0,5,False,"A vast figure striding a distant ridge, indifferent as weather."
giants,attacks,4,2,3,5,True,"Roused or at play, it hurls rock and stride — deadly through sheer size, malice or none."
drakes,sign_only,0,3,0,5,False,"Scorched ground or rimed stone, a reek of sulphur or cold, a lair of gnawed and gilded bone."
drakes,sound_only,0,1,0,5,False,"A grinding deep in the rock, a hiss, the slow drag of something immense."
drakes,glimpsed_far,0,2,0,5,False,"A shape aloft against the cloud, or a long ridge of scale that the eye first takes for stone."
drakes,watches,2,2,3,5,False,It is awake and aware — the air itself seems to listen — and it is in no hurry.
drakes,attacks,4,3,3,5,True,"Fire, frost, fang or flood — it falls upon him with the ruin of a small war."
demons,presence_felt,1,2,0,5,False,"A wrongness in the air, a heat or a cold and a dread that has no source he can name."
demons,glimpsed_far,0,1,0,5,False,"A shape of shadow and flame, or a stillness shaped like a man that should not be."
demons,watches,2,2,3,5,False,It knows he is there and lets him feel it — dread laid on him like a hand.
demons,attacks,4,4,4,5,True,"It looses its full terror — a thing to flee, not fight, and barely that."
undead,presence_felt,1,3,0,5,False,"A sudden chill, a silence with a weight to it, the sense of being watched by what has no warmth."
undead,sign_only,0,1,0,5,False,"A barrow lid ajar, cold lights over the bog, a grave that does not look quite closed."
undead,watches,2,3,2,5,False,"It is simply there — at the treeline, across the water — regarding him without fear or haste."
undead,drifts_closer,3,3,3,5,False,"It comes on without sound or threat-display, unhurried, as if it has all of time — which it has."
undead,attacks,4,3,3,5,True,"It lays cold hands or wields fear itself; no roar, no warning, only the reaching."
maiar,glimpsed_far,0,1,0,5,False,A figure on the road that seems ordinary until something about it does not add up.
maiar,observed_activity,1,2,0,5,False,"Found at some work of their own — among beasts, among trees, among books — half in another world."
maiar,brief_exchange,2,3,0,5,False,"Speech that carries more than its words; counsel, riddle or warning from one far older than he seems."
maiar,aid_or_trade,2,2,0,2,False,"Aid given freely and strangely — a rescue, a gift, a door opened — on terms of their own."
maiar,presence_felt,1,1,3,5,False,"A vast, malevolent attention turned his way; dread radiating from a hidden seat of power."
pukel_constructs,mistaken_for_object,1,3,0,5,False,"Taken at first for a worn statue, a pillar, a heap of stone — until the eye doubts it."
pukel_constructs,sign_only,0,1,0,5,False,"Old guardian-marks, a threshold too deliberately placed, a watchful carved face."
pukel_constructs,watches,2,2,0,5,False,"A sense that the stone has noticed him, though nothing yet has moved."
pukel_constructs,attacks,4,3,2,5,True,"Roused, it rises and strikes as living stone or iron — what was scenery is now the enemy."
living_trees,scenery,0,2,0,5,False,"Trees that lean the wrong way, a wood that seems to have shifted when his back was turned."
living_trees,sound_only,0,1,0,5,False,"A creak and groan with no wind behind it, almost like slow speech."
living_trees,observed_activity,1,2,0,5,False,"A great tree-shape moving, slow and deliberate, where no tree should walk."
living_trees,watches,2,2,0,5,False,The wood is awake and aware of him; patience and old anger in the gloom.
living_trees,attacks,4,2,3,5,True,"Roused against those who do harm, they close and crush — slow, irresistible, final."
plants,scenery,0,4,0,5,False,"Part of the land's mood — blossom, bracken, a drift of flowers — colouring the scene, not acting in it."
plants,observed_activity,1,2,0,5,False,"Noticed for use or beauty: a healing herb by the path, fruit in season, a fair bloom."
plants,hinders_passage,2,2,1,5,False,"It bars or pains the way — thorns, clutching briar, a reek that sickens — or it is poison to touch or eat."
trees,scenery,0,4,0,5,False,"The character of the wood itself — its shade, its gloom, its openness — setting the mood of the march."
trees,observed_activity,1,2,0,5,False,"Marked for what it gives: timber, mast, fruit, or a landmark grove that tells him where he stands."
trees,hinders_passage,2,1,0,5,False,"Dense, dark or tangled growth that slows the way and closes the sky overhead."
resources,harvest_shelter,1,4,0,5,False,"A plenty of the land — food, forage, water, fuel — to be gathered or passed by."
resources,observed_activity,1,3,0,5,False,"A sign of worked, settled country: tended fields, herds, hives, diggings, and the folk they imply."
resources,hinders_passage,2,1,0,5,False,"What plenty draws: foragers, beasts or raiders gathered to the same bounty."
sites,harvest_shelter,1,3,0,5,False,"Shelter or salvage offered — a roof, a hearth, a wall against the wind, a thing worth finding."
sites,scenery,0,3,0,5,False,A landmark that tells where he stands and what once stood here; the place colours the hour.
sites,observed_activity,1,2,0,5,False,"It is held or used — folk dwell, guards watch, work goes on — and he must reckon with them."
sites,watches,2,1,2,5,False,"It is not as empty as it looks; something keeps it, and weighs his coming."
sites,hinders_passage,2,1,2,5,False,"A haunt of beasts, outlaws or worse, where shelter and danger share the same walls."
hazards,scenery,0,2,0,5,False,"A peril of the land made plain — a drop, a bog, rotten ice, foul air — read in time and gone around."
hazards,hinders_passage,2,4,0,5,False,"The way itself fights the march: treacherous footing, blocked passage, ground that cannot be trusted."
hazards,sudden_peril,3,3,3,5,True,"It strikes without warning — a slide, a flood, a fall, a fume — and the land turns killer in a breath."
