id,name,current_lng,current_lat,updated_at,description,entity_id,active,type,gender,system_prompt,introduction_instructions
18,Woodmen,1.228323,51.560255,2026-06-25 06:42:31.388994,"Northmen who dwell in and beneath the trees of Mirkwood as loose clans of hunters and gatherers — fair, strong and bearded, and expert climbers at home in the branches. Toward travellers: self-reliant forest folk, wary of strangers but fair to those who respect the woods, and foes of the forest's evils.",8107fb85-1a8a-4d93-8ee6-800cf52f09ca,f,humans,male,,
19,Thranduil's Silvan elves,1.228323,51.560255,2026-06-25 06:42:31.388994,"The Wood-elves of northern Mirkwood, dwelling in caverns and halls under their king — lovers of feasting, song and tongues, keeping to themselves and largely indifferent to Men and Dwarves unless threatened. Toward travellers: merry among their own but guarded with outsiders, suspicious of strangers in their woods and quick to detain trespassers.",9ed792aa-6975-4c93-b75b-55c94d05e492,f,elves,female,,
20,Beornings,1.228323,51.560255,2026-06-25 06:42:31.388994,"A scattered folk of huge, immensely strong men akin to the Woodmen — exceedingly hairy and fair-skinned herders, bee-keepers and woodsmen of the Anduin vales, some said to take bear-shape. Toward travellers: independent and hospitable to friends but fierce to foes, keeping the river-lands clear of orcs and wolves.",c9006cd1-13b3-4fff-bfb2-b645eb5ee614,f,humans,male,,
21,Gondorian farmers,1.228323,51.560255,2026-06-25 06:42:31.388994,"The farming folk of Gondor's heartland vales — Anórien, Ithilien and Lebennin — of mixed Númenórean and local blood, working fields and pastures and supplying the great roads and the river. Toward travellers: settled, ordinary country people, generally peaceable and used to traffic on the roads.",4fece4e4-08d2-47d7-bd3d-d5df7f88ae47,f,humans,male,,
22,Gramuz,1.228323,51.560255,2026-06-25 06:42:31.388994,"Brave, hardy foresters and horse-herders with strong warrior traditions. Toward travellers: tough but honourable folk, wary of strangers though not aggressors.",f1166725-1ac3-4bc6-9d3f-a0a0f3b83446,f,humans,male,,
23,Sagath,1.228323,51.560255,2026-06-25 06:42:31.388994,"Nomadic horsemen and chariot-riders who range the open pastures. Toward travellers: a warlike steppe people, raiders quick to fall upon the unwary.",9d10d07f-a90b-4693-9013-9c1dde5e199e,f,humans,male,,
24,Variags,1.228323,51.560255,2026-06-25 06:42:31.388994,"A brutal, semi-nomadic people of Khand, southeast of Mordor — very dark-skinned, black-haired and red-eyed, tireless horsemen long swayed by Mordor and hardened by constant war. Toward travellers: hostile and warlike, allies of the Enemy — dangerous to meet on their lands or in war.",b1c804af-e57a-4bb1-904f-3247e5506027,f,humans,male,,
25,Wandering Eothraim,1.228323,51.560255,2026-06-25 06:42:31.388994,"Semi-nomadic herders and horse-masters who roam the pastures, clashing with Easterling tribes over grazing-land. Toward travellers: proud horse-folk, wary but hospitable to those who respect them, and hard on trespassers.",3fd89e1f-8a0c-4110-a7ac-92ce4728c0b6,f,humans,male,,
26,Rohirrim Messengers,1.228323,51.560255,2026-06-25 06:42:31.388994,"Riders and military columns of Rohan and Gondor moving along the Great West Road — couriers, troops and supply trains, especially in time of war. Toward travellers: purposeful and in haste; no threat to honest folk, but they will question strangers near the war-roads.",796a2ada-361c-4725-b81b-94dba86ce2b2,f,humans,male,,
27,Urban Northmen,1.228323,51.560255,2026-06-25 06:42:31.388994,"Merchants and settlers of the Celduin valley who came to share in eastern trade — town-dwellers of fortified places, close to Gondor in culture but proud of their Northman roots. Toward travellers: trade-minded townsfolk, generally welcoming to honest dealers.",a14f5326-e687-4ae9-ad10-494bcf0cddca,f,humans,male,,
28,Bandits and deserters,1.228323,51.560255,2026-06-25 06:42:31.388994,"Disaffected soldiers, desperate peasants and local rogues haunting the roads and ruins of the depopulated frontier, caring for nothing but what they can steal. Toward travellers: a direct danger — robber bands that prey on the lone and the laden.",f24f70b7-587e-4eba-9521-f33176c64f19,f,humans,male,,
29,Sea lords of Lebennin,1.228323,51.560255,2026-06-25 06:42:31.388994,"The High Men of Gondor's coast, whose power is rooted in Pelargir and the seaward towns — commanders of fleets and rulers of the province, leading the long fight against Corsairs and Haradan raiders. Toward travellers: proud, authoritative lords of the sea-coast, correct with strangers and watchful for enemies from the water.",c99045c9-ead0-492f-9a74-52928c224145,f,humans,male,,
30,Gondorian Quarrymen,1.228323,51.560255,2026-06-25 06:42:31.388994,"Gondorian labourers who work the ancient stone quarries on the forest's northern margins. Toward travellers: ordinary working men, no threat — a sign of organized Gondorian industry nearby.",99ec0665-b742-461c-bbdf-51a5705e81d1,f,humans,male,,
31,Dwarves of Erebor,1.228323,51.560255,2026-06-25 06:42:31.388994,"Durin's Folk of the Lonely Mountain, using its caverns as halls, mines and treasure-vaults and bound tightly to the trade of the River Running. Toward travellers: proud, industrious and rich, wary of strangers but fair to honest dealers and staunch in alliance.",38c0bfe5-7bde-42ad-8587-f460a2a206e3,f,dwarves,male,,
32,Marshmen,1.228323,51.560255,2026-06-25 06:42:31.388994,"Small, long-lived descendants of the Edain dwelling in the western marshes, living by hunting, fishing, goat-herding and gardening and governed by yearly councils on a holy island; some driven west by the marshes' corruption. Toward travellers: a reclusive, peaceable fen-folk, keeping to their waters and wary of outsiders.",ce1b0165-d4ed-4828-a777-56d4aa27c185,f,humans,male,,
33,Eraguk,1.228323,51.560255,2026-06-25 06:42:31.388994,"Fierce steppe nomads of mixed southern blood, the old inhabitants of the Aegardh, now mostly driven east or scattered into small bandit-like groups by Gondorian pressure. Toward travellers: a displaced, hard-pressed nomad folk, some reduced to raiding to survive.",906015a3-1f45-4e7e-b2c3-388c1cb10891,f,humans,male,,
34,Haruze,1.228323,51.560255,2026-06-25 06:42:31.388994,"Farmers and nomads of the Vale of Harnen, growing sorghum and herding flocks and moving seasonally between Harad and the southern plateaus — a lasting presence even where Gondor claims rule. Toward travellers: southern country folk of contested borderlands, their welcome shifting with loyalties and the season.",c5a3e121-2234-4f2a-8fe8-238db9eb4a0c,f,humans,male,,
35,Gondorian rangers,1.228323,51.560255,2026-06-25 06:42:31.388994,"Border-wardens of Gondor who hold its southern fortresses and patrol the desert roads, keeping the contested marches nominally in hand — thin on the ground and often harried by nomads and enemy agents. Toward travellers: vigilant, hard-pressed king's men; allies to the lawful, sharp with the suspicious.",6eef3cf9-5557-4332-acc4-0c80a917945b,f,humans,male,,
36,Umbarean agents,1.228323,51.560255,2026-06-25 06:42:31.388994,"Captains and intriguers of Umbar who stir the nomad clans against Gondor, using the southern borderlands as a staging-ground and the trade-roads as their target. Toward travellers: covert and dangerous — agitators and spies who work in the shadows against Gondor.",b302e2bc-0c6c-4c63-906a-10ae17b31cb6,f,humans,male,,
37,Tharbad people,1.228323,51.560255,2026-06-25 06:42:31.388994,"The crowded folk of the fen-ringed river-city of Tharbad — merchants, craftsmen, guildsmen, smugglers and refugees — in a town whose rule has slipped from kings to guilds as flood, war and plague wore it down. Toward travellers: a mixed, bustling, sometimes lawless river-city people; opportunity and risk both, depending whom you meet.",b7c21b0d-c385-48ef-9dd8-9387d6803796,f,humans,male,,
38,Rangers of Ithilien,1.228323,51.560255,2026-06-25 06:42:31.388994,"Gondorian rangers who wage a hidden war in Ithilien — stealthy raiders who ambush Sauron's troops from cover and melt back into the wild. Toward travellers: watchful and unseen until they choose; allies to the free, but they challenge strangers in their secret country.",1e9bfa16-7c30-42d4-bfc8-45101f0a74b9,f,humans,male,,
39,Estaravi,1.228323,51.560255,2026-06-25 06:42:31.388994,"Northmen of the Great River valleys; some of their young warriors take service with the Witch-king's hosts, seeking wealth and glory. Toward travellers: ordinary river-vale folk, though some of their fighting men ride with the Enemy — loyalties to weigh with care.",bca15e9a-233e-4d53-bf7a-75dcc15be6fe,f,humans,male,,
40,Princes of Dol Amroth,1.228323,51.560255,2026-06-25 06:42:31.388994,"The hereditary Dúnedain lords of Dor-en-Ernil, ranking just below King and Steward — a line carrying Elven blood, ruling almost as their own masters from Dol Amroth under the silver Swan-ship banner. Toward travellers: noble, gracious and high-bred lords of the sea-coast, courteous to the worthy and commanding in bearing.",05611e91-228f-4ab8-917e-0bd553a0aac5,f,humans,male,,
41,Eredrim,1.228323,51.560255,2026-06-25 06:42:31.388994,"Dunlending-kin highlanders of the Ered Tarthonion, descended from the mountain Daen — rugged village folk under their own chieftains, paying tribute in kind, keeping animist and sometimes dark rites and resisting outside ways. Toward travellers: insular and wary of strangers, clinging to old customs; suspicious, but not always hostile.",ca926d68-6b4e-42eb-b537-1f3c96f5227d,f,humans,male,,
42,Elves of Edhellond,1.228323,51.560255,2026-06-25 06:42:31.388994,"A Sindar-led Elf-haven at the mouth of the Morthond, famed for white swan-ships and as guardians of a sacred wood — Sindar shipwrights and captains over Silvan hunters and fishers, building the fairest ships of southern Gondor. Toward travellers: courteous sea-elves of a hidden haven, gracious to friends and to the worthy.",dbbed084-7bf7-4099-9a73-a6cc8055bdc0,f,elves,female,,
43,Celeborn,1.228323,51.560255,2026-06-25 06:42:31.388994,"Lord of Lórien and consort of Galadriel — a wise Sindarin lord who gives the Golden Wood its military and diplomatic leadership and embodies its ancient traditions. Toward travellers: stately and reserved, courteous to the worthy who enter his realm but exacting of any who come uninvited.",9e0fb2be-d9e2-4160-b2e8-ea83040f95d1,f,elves,female,,
44,Stoors of New Maresh,1.228323,51.560255,2026-06-25 06:42:31.388994,"A small community of Stoor hobbits living in burrows on marsh-hills, travelling by pole-boat and trading herbs and fish, shielded by treacherous wetlands and their own wariness. Toward travellers: shy, peaceable marsh-hobbits, slow to trust outsiders but no threat.",ca5be08c-8bfc-4a61-ad18-a975f513fa61,f,hobbits,male,,
45,Faithful of Arnor,1.228323,51.560255,2026-06-25 06:42:31.388994,"The devout of Arnor who keep monastic houses, hermitages and small enclaves on hilltops and in defiles, joining contemplative life with simple gardening and herding. Toward travellers: peaceable, retiring religious folk, hospitable to the respectful and keeping to their quiet retreats.",60f73f6e-a6f2-4b5a-8d15-55469bdf5a48,f,humans,male,,
46,Merchants,1.228323,51.560255,2026-06-25 06:42:31.388994,Traders moving goods between clans and to the great towns; some fronts hide a smugglers' trade in herbs grown for the Corsairs of Umbar. Toward travellers: generally welcoming dealers and a source of goods and news — though a few serve darker masters behind a trader's face.,68ee828e-f3a3-4140-95e3-74d880961e49,f,humans,male,,
47,Gondorian settlers,1.228323,51.560255,2026-06-25 06:42:31.388994,"Gondorians who garrison the forts and farm the pockets of the eastern marches, guarding the fords and asserting Gondor's claimed dominion. Toward travellers: settled frontier folk and soldiers; correct with the lawful, watchful of strangers near the borders.",a1c0f73d-6c9f-43b6-8848-0fb915b8510c,f,humans,male,,
48,Smugglers,1.228323,51.560255,2026-06-25 06:42:31.388994,"Privateers, pirates and smugglers working from coves, swamps and hidden harbours along the coasts, raiding trade and dodging the king's duties. Toward travellers: lawless and dangerous — they prey on shipping and trust no one they cannot use.",193fc0a9-85c6-49bf-af26-4bfbbf67b942,f,humans,male,,
49,Dwarves of Nan-i-Naugrim,1.228323,51.560255,2026-06-25 06:42:31.388994,"Firebeards and Broadbeams of the Blue Mountains, dwelling in the fourteen holds of their valley and keeping vigorous traditions of smithing and weapon-craft. Toward travellers: skilled, proud mountain-Dwarves; reserved with outsiders but renowned for their work and fair in trade.",2544b3b0-fe67-4ab4-9a4d-8842bd6f6cda,f,dwarves,male,,
50,Elves of Mithlond,1.228323,51.560255,2026-06-25 06:42:31.388994,"The High Elves of Círdan's Grey Havens, who keep the western tower and road and crew the grey ships that bear the Eldar over Sea into the West. Toward travellers: ancient, serene and bittersweet sea-elves; courteous but remote, their faces ever turned toward the West.",767ba610-a31d-4cd7-9ff4-bdb224b679d8,f,elves,female,,
51,Daen Iontis,1.228323,51.560255,2026-06-25 06:42:31.388994,"A militant Dunnish faction bitterly hating the Dúnedain, bound to a temple of harsh, sacrificial religion and pushing for war — a dark twisting of the old Daen beliefs. Toward travellers: fanatical and hostile, above all to anyone of Dúnedain blood; dangerous zealots.",6ab39e95-0bd0-4820-8ccd-ac376357a8aa,f,humans,male,,
52,Angmar veterans,1.228323,51.560255,2026-06-25 06:42:31.388994,"Former soldiers of Angmar settled as freemen in fortified border villages, who farm, patrol daily, escort supply-trains and turn out as troops in war. Toward travellers: hardened soldier-farmers, watchful and disciplined, wary of strangers on the marches.",89c04337-a419-444d-9166-b55db912da7a,f,humans,male,,
53,Corsairs,1.228323,51.560255,2026-06-25 06:42:31.388994,"Descendants of Gondorian rebels who fled to Umbar after the Kin-strife — strong-built, mostly fair Dúnedain stock, long warring with the southern peoples and burning to reclaim Gondor. Toward travellers: hostile sea-raiders and enemies of Gondor, pirates who plunder the coasts and take captives.",d18fcd08-da18-4540-b5c6-7b8eff81e448,f,humans,male,,
54,Dwarf Miners of Harlindon,1.228323,51.560255,2026-06-25 06:42:31.388994,"Dwarves working the coal and iron mines on the eastern slopes of the southern Blue Mountains. Toward travellers: industrious, close-mouthed miners; reserved with strangers but no threat to honest folk.",beb14c2f-1adc-40da-91bf-177af1083f1d,f,dwarves,male,,
55,Men of Rhudaur,1.228323,51.560255,2026-06-25 06:42:31.388994,"Men of the fallen kingdom of Rhudaur, many of whom — land-hungry peasants especially — enlisted in Angmar's armies and later settled as soldier-farmers in fortified villages. Toward travellers: hardened border folk, some still bound to old Angmar loyalties; wary and not always friendly.",f6213a8d-c43d-4dea-9680-9096ca8fadb8,f,humans,male,,
56,Hillmen shepherds,1.228323,51.560255,2026-06-25 06:42:31.388994,"Hardy nomadic herders grazing their sheep through the southern valleys. Toward travellers: tough, self-sufficient hill-folk, guarded with strangers but rarely aggressors.",af9f82a0-f0b7-419c-84b7-5f2e31339980,f,humans,male,,
57,Rangers of the North,1.228323,51.560255,2026-06-25 06:42:31.388994,"Dúnedain rangers who watch the wild northern lands and shadow the movements of the Witch-king's armies — secret guardians of the depopulated North. Toward travellers: grim, unseen protectors; they challenge strangers but defend the innocent and aid the worthy in need.",d35954a3-8475-4536-8061-8ba854037b09,f,humans,male,,
58,Rangers of Arthadan,1.228323,51.560255,2026-06-25 06:42:31.388994,"Frontier shepherds and watch-forts of Arthedain's bleak northwestern marches, grazing the uplands and standing as staging-ground and militia against Angmar. Toward travellers: hard-pressed frontier folk and watchmen, wary on an exposed and war-torn border.",9eef4959-f668-4f30-b245-f4f405948e7e,f,humans,male,,
59,Lumimiehet,1.228323,51.560255,2026-06-25 06:42:31.388994,"A wary snow-people who roam the northern wastes from spring to autumn, camping rough on rocky slopes for days at a time, reserved with strangers and apter to move on than to deal with rough folk. Toward travellers: shy and cautious, but approached gently they can give detailed knowledge of the land, its hazards and its ways.",c6464b02-e47b-4322-b90f-07862a8fd414,f,humans,male,,
60,Tinkers and travellers,1.228323,51.560255,2026-06-25 06:42:31.388994,"Tinkers and peddlers who move steading to steading along the roads, doing odd jobs, selling small goods and carrying news and gossip. Toward travellers: friendly and talkative, a ready source of local news and rumour, and welcome company on the road.",720a4236-4411-48f6-bc40-9b9981370990,f,humans,male,,
61,Rivermen traders,1.228323,51.560255,2026-06-25 06:42:31.388994,"River-folk who ply the Baranduin and other northern rivers, claiming the waters as their own and carrying trade and word between the northern realms. Toward travellers: independent boat-folk, useful for passage and news, but proprietary about their rivers.",c45a0a85-fb39-4f75-8d23-c4d9c670ae4c,f,humans,male,,
62,Beffraen,1.228323,51.560255,2026-06-25 06:42:31.388994,"A primitive woodland folk akin to the Wild-men, dwelling in the dark forests of a remote peninsula — secretive, using treacherous woods and coasts to stay beyond Dúnadan rule and keep their own ways. Toward travellers: shy and elusive, shunning outsiders; wary in their woods but not aggressors unless threatened.",d7dd96e9-d666-49c5-a60d-a489a8c58a1f,f,humans,male,,
63,Celebrimbor,1.228323,51.560255,2026-06-25 06:42:31.388994,"The master-smith who founded the great Elven craft-guild of Eregion — among the greatest smiths of his people and the maker of the Three Elven Rings. Toward travellers: a noble, brilliant craftsman-lord, gracious to the worthy and wholly absorbed in his art.",5b54084b-a9b2-4ccf-b2cd-bc630ab41500,f,elves,female,,
64,Rohirrim,1.228323,51.560255,2026-06-25 06:42:31.388994,"The horse-lords of Rohan — tall, fair, blond and bearded Northmen who live much of the year in seasonal pasture-camps, herding, hunting and fishing; proud riders with old hatreds for Dunlendings and orcs. Toward travellers: hospitable to honest, respectful folk, but suspicious of strangers and swift to challenge intruders on their lands.",8c9a346b-5236-4af7-bb9e-14b4c2f51a87,f,humans,male,,
65,Saralainn,1.228323,51.560255,2026-06-25 06:42:31.388994,"Rowdy, semi-independent clans of the Gwathló mouthlands, their culture a blend of Dunnish ways and refugee influences — providing both raiders and stubborn defenders. Toward travellers: unruly and unpredictable; some hospitable, some quick to rob, depending on the clan and the day.",c89386a2-b71f-4243-ab0d-e15d4094c152,f,humans,male,,
66,Dunlendings Bards,1.228323,51.560255,2026-06-25 06:42:31.388994,"Singers and lore-keepers of the Dunlending clans, carrying genealogies, feuds and grievances in memorized verse; welcome at any hearth, their praise or mockery can make or unmake a man among the clans. Toward travellers: protected by custom and no fighters, but a powerful voice in the clans — and a keen source of local news and feud.",1f91f41e-b157-4d60-9f1b-584cf8ebc0bf,f,humans,male,,
67,Snow-elves (Lossidil),1.228323,51.560255,2026-06-25 06:42:31.388994,"Reclusive Snow-elves of the far polar wastes, keeping an enchanted ice-city and patrolling the frozen north, guarding an ancient radiance and rarely meddling in mortal affairs. Toward travellers: remote, seldom-seen guardians of the ice; aloof, but not hostile to those who mean no harm.",707f6cd9-fdee-4006-96e2-89fcd7b4aa4d,f,elves,female,,
68,Iathrim and Laegrim,1.228323,51.560255,2026-06-25 06:42:31.388994,"Sindar and Green-elves of Harlindon and southern Lindon — many of them survivors of drowned Beleriand — who shape the woodland culture of the western shores, some chafing under Noldorin rule. Toward travellers: woodland Elf-folk of the coast, courteous but reserved with outsiders.",3ebcfc7a-84a2-40d0-9d85-14eeda750738,f,elves,female,,
69,Lindellim (Nandor),1.228323,51.560255,2026-06-25 06:42:31.388994,"Nandor Elves and northern Sindar houses of Lindon, holding parts of its forlands and shores — an old woodland Elven lineage among the western realms. Toward travellers: secretive forest-Elves, wary of strangers but not hostile without cause.",4ddb4f0d-cff8-492d-88ce-8fe319653388,f,elves,female,,
70,Angmarim Soldiers,1.228323,51.560255,2026-06-25 06:42:31.388994,"The mortal soldiery of Angmar — hardened northern fighters in the Witch-king's service, garrisoning his black towers and marching on the Dúnedain; grim and disciplined. Toward travellers: hostile servants of the Iron Crown who hunt and fight all enemies of Angmar.",61f9e281-cc1e-4138-b638-114e1304b1cf,f,humans,male,,
71,Helechoth,1.228323,51.560255,2026-06-25 06:42:31.388994,"A herding-and-hunting sub-folk of the far north, working inland herds across the cold uplands and dealing with both the snow-peoples and Angmar's frontier forces. Toward travellers: hardy northern herders, wary and self-contained on a bleak, contested frontier.",32f1100e-4adb-4881-b64e-0211521fab7c,f,humans,male,,
72,Umli (Half-dwarves),1.228323,51.560255,2026-06-25 06:42:31.388994,"A short, stocky northern folk said to spring from an ancient union of Men and Dwarves — strong, ruddy, red-haired and bearded, supremely hardy in cold but ill-suited to heat, and long-lived. Toward travellers: tough, insular cold-country folk; gruff with strangers but no enemy to honest travellers.",f56448fd-8bf0-4c25-af4a-b0aea9b92337,f,dwarves,male,,
73,Dwarves of Khazad-dum,1.228323,51.560255,2026-06-25 06:42:31.388994,"Durin's Folk in their ancestral glory at Moria, trading ore and craft with the Elves of Eregion in a famed friendship of shared learning. Toward travellers: proud master-smiths and miners at the height of their power; reserved but fair, and staunch friends to allies.",41589eb0-7981-4841-9648-a1aef5f9d2bc,f,dwarves,male,,
74,Merënyetsënyt,1.228323,51.560255,2026-06-25 06:42:31.388994,"A snow-people of the Bay of Forochel who live on drifting icebergs and frozen shores, hunting whales, seals and walrus — short, stocky, fair-haired and astonishingly cold-hardy, though many are lost to the sea. Toward travellers: hardy, isolated ice-hunters, reserved with outsiders but not hostile.",2f60828e-88fc-4e12-98df-27d6e74ce5af,f,humans,male,,
75,Noldorin mystics,1.228323,51.560255,2026-06-25 06:42:31.388994,"An obscure order of Noldorin mystics keeping a hidden valley-haven in the far north — a refuge for the Free Peoples and a base of resistance against the Witch-king. Toward travellers: secretive, wise and benevolent; a hidden help to the hunted who can find them.",121d27ca-c324-4051-afa6-32d488c8f4ae,f,elves,female,,
76,Dunlendings Healers,1.228323,51.560255,2026-06-25 06:42:31.388994,"Wise-women and herb-keepers of the Dunlending clans, tending wounds and sickness with simples, charms and old craft — respected and a little feared, guarding remedies and rites older than Rohan. Toward travellers: a possible source of healing and lore, though wary of outsiders and protective of their secrets.",4c245196-06e2-4481-aa69-d7ad18429751,f,humans,male,,
77,Woses,1.228323,51.560255,2026-06-25 06:42:31.388994,"The Drúedain — an ancient, diminutive forest-people unmatched in wood-craft and woodland warfare, thought ugly and long persecuted by Men and Elves, surviving hidden in the deep woods. Toward travellers: deeply wary and secretive after ages of hunting; no aggressors, but they watch unseen and trust few — yet stalwart friends to those who earn it.",b7757f56-109f-4cfb-bb1e-4e5b8000ff86,f,humans,male,,
78,Broadbeam Dwarf Patrol,1.228323,51.560255,2026-06-25 06:42:31.388994,"A patrol of Broadbeam Dwarves warding the roads and mine-approaches of the Blue Mountains — grim and heavily armed, guarding their holds against orcs and trespassers and keeping the old ways open. Toward travellers: stern, watchful guards, correct with honest folk but quick to challenge strangers near their gates.",c3ffc3f1-f290-482b-a474-53fa5b259a72,f,dwarves,male,,
79,Slaves,1.228323,51.560255,2026-06-25 06:42:31.388994,"Captives and subjugated folk of many origins, worked under the lash to support a warrior elite — broken and desperate people. Toward travellers: pitiable more than threatening, but the desperate can turn dangerous, and where they toil their cruel masters are near.",8c4625b3-a0dc-44c5-bec9-cdee3f87d3da,f,humans,male,,
80,Mithrim Noldor Patrol,1.228323,51.560255,2026-06-25 06:42:31.388994,"A roving Noldor war-band of the Blue Mountains and northern Lindon, watching the passes of the Ered Luin for orcs out of the ruined North and escorting travellers between scattered Elven settlements. Toward travellers: vigilant Elven guards — protective of the free and a help to honest wayfarers, sharp toward anything that smells of the Enemy.",a288de43-4070-432e-abe8-539f969b0ee4,f,elves,female,,
