"region_id","region_name","kingdom","forest","hill","marshes","mountains_low","mountains_med","mountains_high"
"11","Lebennin","Gondor","Cultivated, Mediterranean woodland: groves of holm-oak, chestnut and cypress give way to olive and almond on the warmer slopes, with orchards and flowering vales. The undergrowth is aromatic with broom, thyme and rockrose; tended, sunlit, prosperous woods.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice."
"12","Harondor","Gondor","Sun-scorched scrubland rather than true forest: thorn, tamarisk and stunted wind-bitten oak scattered over an arid contested plateau, their roots gripping cracked red earth. Sparse, dusty shade in a debated borderland baked between Gondor and the South.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","","",""
"13","Anfalas","Gondor","Sparse, wind-scoured woods on a rocky, desolate coast: stunted oak and pine bent by the sea-gales, clinging to the spurs of the White Mountains above fishing villages and gold-miners' tracks. Few trees of size survive here; the land is harsh, salt-bitten and poor, far from Gondor's prosperous heartland.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice."
"14","Westmarch","Gondor","Cultivated, Mediterranean woodland: groves of holm-oak, chestnut and cypress give way to olive and almond on the warmer slopes, with orchards and flowering vales. The undergrowth is aromatic with broom, thyme and rockrose; tended, sunlit, prosperous woods.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice."
"15","South Arthedain","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","",""
"16","Minhiriath","Cardolan","A mixed land more than a wood: fertile lowland plains and pasture broken by ragged copses of oak and birch, the thinned remnant of older forest. Harsh winds scour the uplands while the river-vales lie green and tilled, dotted with the heath and bracken reclaiming abandoned ground.","Low chalk-and-turf downs rolling to the horizon, dotted with ancient barrows and crowned here and there by weathered stone. Open, windswept, and brooding over the old graves.","","","",""
"17","Rast Vorn","Rast Vorn","Dark, storm-twisted oakwood clinging to a wind-scoured coastal cape, dense and salt-bitten, sheltering an ancient folk apart from the world. A brooding, silent wood under sea-grey skies.","","","","",""
"18","Harithilien","Gondor","The fairest woodland left to Gondor, lush in defiance of the dark across the river: holm-oak, bay, tamarisk and terebinth, with thickets of fragrant herbs, thyme, marjoram, sage, and clear streams falling into pools. Yet a haze drifts from the Ephel Duath and ash sometimes greys the leaves, all this beauty edged with foreboding.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","","",""
"19","Lamedon","Gondor","Half-tilled, half-wild country on the southern skirts of the White Mountains: groves of oak and chestnut among vine-terraces give way quickly to rough uplands and mine-scarred slopes where iron, zinc and lead are dug. Much of the land remains untamed hill and thicket, greener than Anfalas but far from Gondor's tended heartland.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice."
"20","Dor-en-Emyl","Gondor","Cultivated, Mediterranean woodland: groves of holm-oak, chestnut and cypress give way to olive and almond on the warmer slopes, with orchards and flowering vales. The undergrowth is aromatic with broom, thyme and rockrose; tended, sunlit, prosperous woods.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice."
"21","Enedhwaith","Enedhwaith","Sparse degraded woods of oak and thorn on a windswept plateau, the felled and grazed-over remnant of older forest. Heath and bracken reclaim the gaps; bleak and half-empty.","","","","",""
"22","Tol Fuin","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","",""
"23","Tolfalas","Gondor","Cultivated, Mediterranean woodland: groves of holm-oak, chestnut and cypress give way to olive and almond on the warmer slopes, with orchards and flowering vales. The undergrowth is aromatic with broom, thyme and rockrose; tended, sunlit, prosperous woods.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice."
"24","Iron Hills","Iron Hills","Stunted pine and birch clinging to dark, ore-streaked slopes, sparse and hardy. The wood gives out fast into rugged dwarf-mined stone; the air smells of iron and cold.","Low rugged ridges of dark ore-bearing stone, scarred with dwarf-mines and old roads, hard and treeless and smelling of iron.","","The lower slopes of the Iron Hills, dark with ore-bearing rock and dwarf-delvings, ridged and rugged but not lofty, the wind smelling of iron and cold stone.","",""
"25","Dale","Dale","Sparse cold woodland of birch, pine and rowan in the rocky vales beneath the Lonely Mountain, hardy and wind-bitten, opening quickly into the fertile fields and upland pasture that feed Dale and Esgaroth under a northern sky.","","","","",""
"26","Ronalindon","Harlindon","Quiet green coastal woods of oak, hazel, holly and alder along the southern Gulf of Lhun, mild and sheltered. Ferny, mossy understory, dappled sea-light, and the lingering peace of an Elvish land at the world's western edge.","","","","",""
"27","Ered Luin","Harlindon","Quiet green coastal woods of oak, hazel, holly and alder along the southern Gulf of Lhun, mild and sheltered. Ferny, mossy understory, dappled sea-light, and the lingering peace of an Elvish land at the world's western edge.","","","The lower skirts of the Blue Mountains: rounded heather-clad shoulders of grey stone rising from the pinewoods, cut by cold streams and silent old dwarf-roads. Steep but never deadly, the air sharp with resin and sea-wind.","The middle heights of the Blue Mountains, bare rock breaking through the heath, wind singing in the gullies. Old delvings and the rubble of vanished dwarf-mansions scar the scree-slopes, and the cold bites even in summer.",""
"28","Ardolyalinya","Harlindon","Quiet green coastal woods of oak, hazel, holly and alder along the southern Gulf of Lhun, mild and sheltered. Ferny, mossy understory, dappled sea-light, and the lingering peace of an Elvish land at the world's western edge.","","","","",""
"29","Belegaer sea","Belegaer Sea","","","","","",""
"30","Lairiardhon","Harlindon","Quiet green coastal woods of oak, hazel, holly and alder along the southern Gulf of Lhun, mild and sheltered. Ferny, mossy understory, dappled sea-light, and the lingering peace of an Elvish land at the world's western edge.","","","","",""
"31","Lildardhon","Harlindon","Quiet green coastal woods of oak, hazel, holly and alder along the southern Gulf of Lhun, mild and sheltered. Ferny, mossy understory, dappled sea-light, and the lingering peace of an Elvish land at the world's western edge.","","","","",""
"32","South Harlindon","Harlindon","Quiet green coastal woods of oak, hazel, holly and alder along the southern Gulf of Lhun, mild and sheltered. Ferny, mossy understory, dappled sea-light, and the lingering peace of an Elvish land at the world's western edge.","","","","",""
"33","Ardquetto","Harlindon","Quiet green coastal woods of oak, hazel, holly and alder along the southern Gulf of Lhun, mild and sheltered. Ferny, mossy understory, dappled sea-light, and the lingering peace of an Elvish land at the world's western edge.","","","","",""
"34","Ered Luin Vales","Harlindon","Quiet green coastal woods of oak, hazel, holly and alder along the southern Gulf of Lhun, mild and sheltered. Ferny, mossy understory, dappled sea-light, and the lingering peace of an Elvish land at the world's western edge.","","","The lower skirts of the Blue Mountains: rounded heather-clad shoulders of grey stone rising from the pinewoods, cut by cold streams and silent old dwarf-roads. Steep but never deadly, the air sharp with resin and sea-wind.","The middle heights of the Blue Mountains, bare rock breaking through the heath, wind singing in the gullies. Old delvings and the rubble of vanished dwarf-mansions scar the scree-slopes, and the cold bites even in summer.",""
"35","Central Anduin","Anduin Vales","Riverine forest of willow, alder and poplar crowding the banks, giving way upslope to birch and oak in grassy glades where deer and wild horses graze. Reeds edge the water; the wood darkens and tangles the higher it climbs toward the mountains.","","Reed-choked backwaters and water-meadows along the Anduin, the river spreading slow and silver among willows and sedge. Herons stalk the shallows; mist rises at dusk and the ground turns soft and treacherous.","","",""
"36","Ronen-in-Anduin","Anduin Vales","Riverine forest of willow, alder and poplar crowding the banks, giving way upslope to birch and oak in grassy glades where deer and wild horses graze. Reeds edge the water; the wood darkens and tangles the higher it climbs toward the mountains.","","Reed-choked backwaters and water-meadows along the Anduin, the river spreading slow and silver among willows and sedge. Herons stalk the shallows; mist rises at dusk and the ground turns soft and treacherous.","","",""
"37","Woodmen","Woodmen","Dense oak, beech and thorn under the eaves of the great wood, home of the Woodmen, growing closer and darker the farther south it runs. Game-trails wind through dim green light, but a watchful unease deepens toward the shadow in the south.","","","","",""
"38","Nan Anduin","Anduin Vales","Riverine forest of willow, alder and poplar crowding the banks, giving way upslope to birch and oak in grassy glades where deer and wild horses graze. Reeds edge the water; the wood darkens and tangles the higher it climbs toward the mountains.","","Reed-choked backwaters and water-meadows along the Anduin, the river spreading slow and silver among willows and sedge. Herons stalk the shallows; mist rises at dusk and the ground turns soft and treacherous.","","",""
"39","Central Misty Mountains","Misty Mountains","","","","The lower folds of the Misty Mountains, pine-darkened and boulder-strewn, goat-paths winding among the roots of the range. Cold torrents cut the slopes and old orc-trails lace the gullies; rough and watchful going.","The middle reaches of the Hithaeglir, bare grey stone and loose scree above the last twisted pines. Mist clings to the crags, snow lingers in the shadows, and the passes are treacherous with rockfall and denning things.","The high peaks of the Misty Mountains, savage and storm-wracked: black fangs of rock and blue glacier ice swept by killing winds and sudden blizzards. Here the mountains themselves seem to wish the traveller dead."
"40","Tower Hills","Harlindon","Quiet green coastal woods of oak, hazel, holly and alder along the southern Gulf of Lhun, mild and sheltered. Ferny, mossy understory, dappled sea-light, and the lingering peace of an Elvish land at the world's western edge.","","","","",""
"41","West Rhudaur","Rhudaur","Grim, broken upland woods of stunted oak, pine and thorn strewn with mossy boulders, cold and ill-tended. In the Trollshaws and Ettenmoors the trees shelter trolls and worse among the tumbled grey stones.","Bleak boulder-strewn moor-hills of grey rock and coarse grass, cold and trackless, where trolls den among the tumbled stones and the wind moans across empty heights.","","","",""
"42","En Egladil","Rhudaur","Grim, broken upland woods of stunted oak, pine and thorn strewn with mossy boulders, cold and ill-tended. In the Trollshaws and Ettenmoors the trees shelter trolls and worse among the tumbled grey stones.","Bleak boulder-strewn moor-hills of grey rock and coarse grass, cold and trackless, where trolls den among the tumbled stones and the wind moans across empty heights.","","","",""
"43","Trollshaws","Rhudaur","Grim, broken upland woods of stunted oak, pine and thorn strewn with mossy boulders, cold and ill-tended. In the Trollshaws and Ettenmoors the trees shelter trolls and worse among the tumbled grey stones.","Bleak boulder-strewn moor-hills of grey rock and coarse grass, cold and trackless, where trolls den among the tumbled stones and the wind moans across empty heights.","","","",""
"44","Ettenmoors","Rhudaur","Grim, broken upland woods of stunted oak, pine and thorn strewn with mossy boulders, cold and ill-tended. In the Trollshaws and Ettenmoors the trees shelter trolls and worse among the tumbled grey stones.","Bleak boulder-strewn moor-hills of grey rock and coarse grass, cold and trackless, where trolls den among the tumbled stones and the wind moans across empty heights.","","","",""
"45","Coldfells","Rhudaur","Grim, broken upland woods of stunted oak, pine and thorn strewn with mossy boulders, cold and ill-tended. In the Trollshaws and Ettenmoors the trees shelter trolls and worse among the tumbled grey stones.","Bleak boulder-strewn moor-hills of grey rock and coarse grass, cold and trackless, where trolls den among the tumbled stones and the wind moans across empty heights.","","","",""
"46","Angmar","Angmar","Stunted, wind-broken pine and thorn cling to cold grey slopes under perpetual cloud, snow lingering in their shadow. A grim, sparse wood in a land that resents the living.","Cold bare hill-country under perpetual grey cloud, snow lingering in the hollows, grim and silent beneath the brooding strongholds of the Witch-king.","","The cold low mountains of Angmar, bare grey rock under perpetual cloud, snow-streaked and wind-scoured, where the Witch-king's strongholds brood among the crags.","",""
"47","Ered Luin","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","The lower skirts of the Blue Mountains: rounded heather-clad shoulders of grey stone rising from the pinewoods, cut by cold streams and silent old dwarf-roads. Steep but never deadly, the air sharp with resin and sea-wind.","The middle heights of the Blue Mountains, bare rock breaking through the heath, wind singing in the gullies. Old delvings and the rubble of vanished dwarf-mansions scar the scree-slopes, and the cold bites even in summer.",""
"48","Numeriador","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","",""
"49","Ascahiriand","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","",""
"50","En Udanoriath","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","",""
"51","Mänoriand","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","",""
"52","Celanoriand","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","",""
"53","Sandariand","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","",""
"54","Talath Muil","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","",""
"55","Rammas Formen","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","",""
"56","Evendim Hills","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","",""
"57","Fornost","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","",""
"58","Old Forest","Old Forest","","","","","",""
"59","South Downs","Cardolan","A mixed land more than a wood: fertile lowland plains and pasture broken by ragged copses of oak and birch, the thinned remnant of older forest. Harsh winds scour the uplands while the river-vales lie green and tilled, dotted with the heath and bracken reclaiming abandoned ground.","Low chalk-and-turf downs rolling to the horizon, dotted with ancient barrows and crowned here and there by weathered stone. Open, windswept, and brooding over the old graves.","","","",""
"60","Mintyrnath","Cardolan","A mixed land more than a wood: fertile lowland plains and pasture broken by ragged copses of oak and birch, the thinned remnant of older forest. Harsh winds scour the uplands while the river-vales lie green and tilled, dotted with the heath and bracken reclaiming abandoned ground.","Low chalk-and-turf downs rolling to the horizon, dotted with ancient barrows and crowned here and there by weathered stone. Open, windswept, and brooding over the old graves.","","","",""
"61","Weather Hills","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","",""
"62","Rohan","Rohan","True forest is scarce; the grass rules. What trees there are huddle as willow-copses and alder-thickets at the river-fords and in sheltered combes, islands of shade in a sea of green-gold turf loud with the ceaseless plains-wind.","","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice."
"63","Wold","Rohan","True forest is scarce; the grass rules. What trees there are huddle as willow-copses and alder-thickets at the river-fords and in sheltered combes, islands of shade in a sea of green-gold turf loud with the ceaseless plains-wind.","","","","",""
"64","Apariach","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","",""
"65","Vinyalas","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","",""
"66","Forovirian","Forovirian","Cold, sparse stands of hardy pine and birch on the bleak northern skirts of Gundabad, wind-stripped and snow-streaked, thinning fast into bare rock.","","","The lower skirts of Mount Gundabad, bare grey stone and tundra-grass swept by an endless cold wind, snow lingering in the hollows of a grim orc-haunted height.","",""
"67","Talath Uichel","Talath Uichel","At the edge of the Plain of Everlasting Cold, only dwarf-birch and creeping pine survive in sheltered hollows before the tundra takes all. Frost-stunted and sparse under a wide pale sky.","","","","",""
"68","North Misty Mountains","Misty Mountains","","","","The lower folds of the Misty Mountains, pine-darkened and boulder-strewn, goat-paths winding among the roots of the range. Cold torrents cut the slopes and old orc-trails lace the gullies; rough and watchful going.","The middle reaches of the Hithaeglir, bare grey stone and loose scree above the last twisted pines. Mist clings to the crags, snow lingers in the shadows, and the passes are treacherous with rockfall and denning things.","The high peaks of the Misty Mountains, savage and storm-wracked: black fangs of rock and blue glacier ice swept by killing winds and sudden blizzards. Here the mountains themselves seem to wish the traveller dead."
"69","Wilderness of Arnor","Wilderness of Arnor","Cold pine and spruce on the mountain skirts, dark and resinous, the needled floor muffling every step. Mist pools between the trunks; old boundary-stones and broken walls of lost Arnor surface among the roots.","Stony upland shoulders rising toward the High Pass, grass and lichen over grey rock, strewn with the rubble of old watch-towers and the boundary-marks of a lost realm.","","","",""
"70","Eregion","Cardolan","Hollin, the land of holly that gave the region its name: dark evergreen holly-woods and thickets scattered over rolling green country at the feet of the Misty Mountains, mild and strangely quiet. Among the trees lie the grass-grown ruins of Eregion's Elven-smiths, and a lingering stillness hangs where the Noldor once wrought their greatest works.","Low chalk-and-turf downs rolling to the horizon, dotted with ancient barrows and crowned here and there by weathered stone. Open, windswept, and brooding over the old graves.","","","",""
"71","Moria","Moria","","","","The lower folds of the Misty Mountains, pine-darkened and boulder-strewn, goat-paths winding among the roots of the range. Cold torrents cut the slopes and old orc-trails lace the gullies; rough and watchful going.","The middle reaches of the Hithaeglir, bare grey stone and loose scree above the last twisted pines. Mist clings to the crags, snow lingers in the shadows, and the passes are treacherous with rockfall and denning things.","The high peaks of the Misty Mountains, savage and storm-wracked: black fangs of rock and blue glacier ice swept by killing winds and sudden blizzards. Here the mountains themselves seem to wish the traveller dead."
