id,name,region_type,kingdom_id,description_text,notes,products,area_km2,created_at
52,Celanoriand,province,24,"Lindon is the westernmost Elvish realm of Middle-earth, the remnant of Ossiriand that survived the War of Wrath. After the breaking and flooding of Beleriand, the Great Sea breached the Blue Mountains to form the Gulf of Lhûn, dividing Lindon into Forlindon (North Lindon) and Harlindon (South Lindon), with the River Lhûn as the eastern border against Arnor. Throughout the Second and early Third Age it is the principal Elven coastal realm and home of the Grey Havens (Mithlond). Geology consists of folded sedimentary rock (slate and sandstone) with rich iron lodes and abundant coal deposits in forlindon.","This Lindon work is an unlicensed, non-commercial fan-made Realm (version 3.2, 2023) rather than an original ICE product, but it is structured like a MERP Realm and synthesizes Tolkien canon with MERP-style material. For your Middle-earth-on-Europe map, Lindon should be treated as one macro-region with internal subregions (Forlindon, Harlindon, Rhûnlindon) sharing a maritime temperate climate, and Mithlond explicitly marked as a major harbor node. Climate numbers (temperature ranges and precipitation) from the Traveller’s Guide can be mapped directly onto your climate system for coastal vs mountain bands, while the Wandering Companies’ route description provides a canonical overland corridor from Imladris to the Grey Havens for your path and distance calculations.[file:99] Eerily beautiful remnants of Beleriand, characterized by rugged coastal hills, fertile valleys, and evergreen forests. A light rain, drizzle, or ethereal fog falls on most days of the year, allowing mosses, ferns, firs, and spruce to thrive.","Ships, fish, rope, textiles, herbs.",22032.3894844129,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
35,Central Anduin,province,33,"The High Pass (Cirith Forn en Andrath, S. 'High-climbing Pass of the North') cuts through the central Misty Mountains connecting Rivendell and Eriador in the west to the upper Anduin Vales and Rhovanion in the east. It encompasses the Orcish stronghold of Goblin-gate, the eyrie of the Great Eagles, the Northman market-town of Maethelburg, the western foothills of Rhudaur, and the broad river plain of the Anduin. Geology consists of limestone and granite with massive igneous basalt intrusions. western foothills consist of red sandstone, while eastern valleys contain oily black shale; rich in copper, iron, silver, gold, and mithril.","This module is centered on T.A. 1640 (primary time period), with additional adventures set in T.A. 2940 (time of The Hobbit, when Gollum is already in the caves and Thorin's company passes through) and F.A. 1. The fauna and flora data reflect the T.A. 1640 baseline. Goblin-gate's internal geography is partially procedurally generated (Random Features Table in the module) and not fully fixed on maps—only key route passages are mapped. The region connects westward to Rivendell/Eriador and eastward to northern Mirkwood via Maethelburg and the Old Ford, making it a critical chokepoint on the Misty Mountains.[file:88] The longest and highest mountain chain in the west, serving as a formidable glacial barrier between Eriador and Rhovanion. Heavy snows and glaciers cover peaks above 11,500 feet year-round. It is riddled with Orc-holds, Dwarven caverns, and the under-deeps.","Grain, hides, cattle, honey, amber, tin.",64031.5082563563,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
39,Central Misty Mountains,province,8,"The High Pass (Cirith Forn en Andrath, S. 'High-climbing Pass of the North') cuts through the central Misty Mountains connecting Rivendell and Eriador in the west to the upper Anduin Vales and Rhovanion in the east. It encompasses the Orcish stronghold of Goblin-gate, the eyrie of the Great Eagles, the Northman market-town of Maethelburg, the western foothills of Rhudaur, and the broad river plain of the Anduin. Geology consists of limestone and granite with massive igneous basalt intrusions. western foothills consist of red sandstone, while eastern valleys contain oily black shale; rich in copper, iron, silver, gold, and mithril.","This module is centered on T.A. 1640 (primary time period), with additional adventures set in T.A. 2940 (time of The Hobbit, when Gollum is already in the caves and Thorin's company passes through) and F.A. 1. The fauna and flora data reflect the T.A. 1640 baseline. Goblin-gate's internal geography is partially procedurally generated (Random Features Table in the module) and not fully fixed on maps—only key route passages are mapped. The region connects westward to Rivendell/Eriador and eastward to northern Mirkwood via Maethelburg and the Old Ford, making it a critical chokepoint on the Misty Mountains.[file:88] The longest and highest mountain chain in the west, serving as a formidable glacial barrier between Eriador and Rhovanion. Heavy snows and glaciers cover peaks above 11,500 feet year-round. It is riddled with Orc-holds, Dwarven caverns, and the under-deeps.","Grain, hides, cattle, honey, amber, tin.",36443.0350477349,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
45,Coldfells,province,35,"The High Pass (Cirith Forn en Andrath, S. 'High-climbing Pass of the North') cuts through the central Misty Mountains connecting Rivendell and Eriador in the west to the upper Anduin Vales and Rhovanion in the east. It encompasses the Orcish stronghold of Goblin-gate, the eyrie of the Great Eagles, the Northman market-town of Maethelburg, the western foothills of Rhudaur, and the broad river plain of the Anduin. Geology consists of limestone and granite with massive igneous basalt intrusions. western foothills consist of red sandstone, while eastern valleys contain oily black shale; rich in copper, iron, silver, gold, and mithril.","This module is centered on T.A. 1640 (primary time period), with additional adventures set in T.A. 2940 (time of The Hobbit, when Gollum is already in the caves and Thorin's company passes through) and F.A. 1. The fauna and flora data reflect the T.A. 1640 baseline. Goblin-gate's internal geography is partially procedurally generated (Random Features Table in the module) and not fully fixed on maps—only key route passages are mapped. The region connects westward to Rivendell/Eriador and eastward to northern Mirkwood via Maethelburg and the Old Ford, making it a critical chokepoint on the Misty Mountains.[file:88] The longest and highest mountain chain in the west, serving as a formidable glacial barrier between Eriador and Rhovanion. Heavy snows and glaciers cover peaks above 11,500 feet year-round. It is riddled with Orc-holds, Dwarven caverns, and the under-deeps.","Grain, hides, cattle, honey, amber, tin.",26866.4339599982,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
8,Dagorlad,province,14,"Dagorlad is the wide, flat battle-plain north and northeast of Udûn and the main pass into Mordor, once covered with wild grains and grasses and now a bare, declining expanse dotted with cairns and barrows where the Last Alliance fought Sauron at the end of the Second Age.","This object treats Dagorlad primarily as the battle-plain and Gondorian frontier immediately north of Mordor; the Dead Marshes, Nindalf and associated wetlands are modeled separately to preserve their distinct flora, fauna and hydrology while still acknowledging that the marshes now overlap and partially drown the eastern Dagorlad graves.[file:37]",,38184.9949442087,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
25,Dale,province,16,"The Grey Mountains (Ered Mithrin) form a long, cold northern range between Mirkwood and the Forodwaith, with abrupt cliffs above the Wilderland, gentler northern slopes fading into tundra and the Talath Oiohelka, and the dragon-haunted basin of the Withered Heath between the eastern forks of the range.","This object treats the Grey Mountains, Narrows, Northern Waste fringe and Withered Heath as a single climatic and ecological unit centered on the Ered Mithrin and its dragon-haunted basin; specific Dwarven holds (Silverplunge, Thunderclift, Norr-dum, Silverpit), Beorning manors, Ice-orc Kala Dulakurth and named dragon lairs such as Steel Fall or Anvilmount can be modeled as separate site objects where finer resolution is needed.[file:38]","Market, finished goods, beer.",1086.907683623,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
83,Dor Guldur,province,19,"Southern Mirkwood and Southern Rhovanion form a wild, embattled region stretching from the Old Forest Road down to the Dagorlad and the Emyn Muil, dominated by the dark forest around Dol Guldur, the horse-plains of Talath Harroch, and the Anduin vales and Brown Lands that lie between Mirkwood and Gondor. Geology consists of primarily sedimentary strata of limestone and shale, with significant granite projections such as the cinder cone of amon lanc and the mountains of mirkwood.","This object treats Southern Mirkwood and Southern Rhovanion as a single strategic and ecological unit in T.A. 1640: the haunted southern forest around Dol Guldur, the Talath Harroch horse-plains, the Anduin vales and Brown Lands, and the human and inhuman powers contesting them; individual sites such as Woodmen-town, Rhosgobel, Thorontir and Dol Guldur’s detailed layouts can be represented as separate site objects if needed. The largest forest in western Endor, dominated by oaks, maples, elms, and conifers. It has fallen under a stagnant, heavy shadow since the Necromancer established Dol Guldur, making southern reaches twisted, dark, and home to giant spiders.","Lumber, hides, nuts, carved wooden boxes.",35829.4293297634,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
6,Dor Rhunen,province,10,"Dor Rhunen, the 'Land of the East,' comprises the semi-arid, vast southern plains and rolling grasslands surrounding the southern shores of the Sea of Rhûn. Extending southwest toward the desolate Battle Plain of Dagorlad and bordered to the south by the ash-choked fences of Mordor, this is a harsh, wind-swept buffer territory. It is heavily influenced by the cultures of Rohan and the Wold to the west, but dominated by exceptionally brutal nomadic Easterling tribes, such as the Variags, Nuriags, and Asdriags, who frequently raid the trade caravans.","Dor Rhunen serves as a dangerous, lawless transition zone connecting the western lands of Rhovanion with the eastern expanses of Khand.",,218263.526231828,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
20,Dor-en-Emyl,province,10,"Dor‑en‑Ernil, the Land of the Prince, is a princely fief in south‑central Gondor encompassing Belfalas and neighboring lowlands and highlands; ruled from the coastal city of Dol Amroth, it is famed for its White‑ships, Elven‑tinged nobility, and constant tension with Umbar and the Eredrim highlanders.","This object treats Dor‑en‑Ernil as the broader Land of the Prince; sites like Dol Amroth, Linhir, Edhellond, and Castle Amrûnaur can be represented as separate site objects referencing this region.",,112796.22579822,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
87,Dorwinion,province,12,"Dorwinion, or the 'Wineland,' is a wealthy and fertile country located along the northwest coast of the Sea of Rhûn and the lower reaches of the swift River Celduin and the rushing Uldona. Known throughout Middle-earth for producing the finest wines, its culture is dominated by the Dorwinrim, a hardy, adaptable, and highly diplomatic merchant people. Their capital, Shrel-Kain, is the largest port on the sea and serves as the mercantile and diplomatic hub of the entire region.","Dorwinion's wine trade reaches as far west as Thranduil's halls, using large river-rafts to navigate the Running River.",,8421.62364593575,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
9,Druadan Forest,province,5,"The Drúadan Forest (S: 'Tawar-in-Drúedain') is an ancient, dense, and secretive oakwood situated in northeastern Gondor along the northern slopes of the White Mountains. Bordered by the beacon-hills of Eilenach and Nardol, this forest is the ancestral home of the Woses (Drúedain), a primeval, secretive race of master woodsmen who lead primitive, clan-based lives in hidden hollows and valleys completely apart from Gondorian civilization.","The Woses no longer work in stone, but they maintain and revere the Pûkel-men stone statues carved by their ancestors, using them to guard their bounds.",No exports.,6633.10133933676,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
77,Druwaith Laur,province,10,"Drúwaith Iaur, or Old Púkel-land, is an extremely remote, isolated, and obscure territory in northwestern Gondor, bordering Andrast to the west and the Westmarch to the east. Once claimed and nominally administered by Gondor, the region fell into extreme desertion and depopulation following the Great Plague of T.A. 1636. By T.A. 1640, no Dúnedain remain, leaving the wild, rugged, and uncultivated terrain to be ruled at a clan level by scattered tribes of Dunmen (Dunir) and native Drúedain (Wild Men).","Drúwaith Iaur remains an unadministered 'domain of Wild Men' on Gondor's western border, viewed with anxiety by the settlers of the Westmarch.",,75749.873665641,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
72,Dunland,province,11,"Dunland is the rugged foothill and plateau country south of the Glanduin, east of the Gwathló and north of the Isen, a land of highlands and plains ruled by fractious Dunlending clans who herd, raid and scheme along the vital Old South Road and the Isen Gap.","Keep this Dunland object strictly for the foothills, plateaus, plains and valleys north of the Old South Road and below the alpine zone; the Southern Misty Mountains object above covers the high peaks and explicitly mountain-only flora, fauna and powers.[file:32]","Wool, mercenaries.",66639.2492040395,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
42,En Egladil,province,35,"Rhudaur is the eastern successor state of Arnor, a rugged, sparsely settled land between the Ettenmoors, the Trollshaws and the Angle. It stretches from the Ettenmoors and Ettendales in the north down through the Pinefells and Trollshaws to the rolling lowlands between the rivers Mitheithel and Bruinen, forming a harsh frontier of jagged hills, evergreen forests, boggy vales and predator-haunted woodlands.","This object isolates Rhudaur as a region within Arnor: The Land, focusing on geographic subzones (Ettenmoors, Ettendales, Pinefells/Coldfells, Trollshaws, Coed Drug, Angle) and mapping the general Flora & Fauna of Eriador onto these specific landscapes. The key Rhudaur-specific ecological elements are the Pinefells evergreens, the Coed Drug ancient 'Evilwood', the losrandir herds and the concentration of Hill and Forest Trolls. Climate and hydrology are dominated by snow-fed highlands (Ettenmoors/Ettendales) and the swift Mitheithel, with constant winds limiting agriculture to narrow riverine bands.[file:132]","Hides, copper, mercenaries.",13959.9437574512,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
50,En Udanoriath,province,6,"En Udanoriath, meaning the 'No-Man's-Land' or the 'Dwelling-less Waste', is a bleak, barren, and wind-scarred frontier zone located between the southern border of Angmar and the northern boundaries of Arthedain (near the North Downs). This cold highland waste is a desolate, rocky steppe plagued by bitter northern winds and constant military skirmishes. It serves as a buffer and raiding corridor where the Witch-king's patrols clash with Arnor's remnants, overseen by spy-towers like Mindil Cargash.",A highly dangerous warfront where any travelers are viewed as spies and hunted down.,None,8938.41032783216,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
21,Enedhwaith,province,30,"Dunland is the rugged foothill and plateau country south of the Glanduin, east of the Gwathló and north of the Isen, a land of highlands and plains ruled by fractious Dunlending clans who herd, raid and scheme along the vital Old South Road and the Isen Gap.","Keep this Dunland object strictly for the foothills, plateaus, plains and valleys north of the Old South Road and below the alpine zone; the Southern Misty Mountains object above covers the high peaks and explicitly mountain-only flora, fauna and powers.[file:32]","Wool, mercenaries.",116835.926928777,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
1,Eothraim,province,18,"The territory of the Eothraim comprises the vast, fertile southern plains and rolling grasslands of southern Dor Rhunen, southwest of the Eorstan Hills and extending west toward Greenwood the Great. Watered by the Warwater and Surubeki rivers, this lush environment is home to the Eothraim—fierce, honest, and courageous horse-masters who live as semi-nomadic herders and hunters.","The Eothraim represent the cultural ancestors of the Rohirrim, sharing their deep connection to horses, wind, and honor.","Grain, horses, mercenaries.",143129.230363732,Tue May 26 2026 16:23:29 GMT-0300 (Argentina Standard Time)
27,Ered Luin,province,26,"Ered Luin, also known as the Blue Mountains, is an ancient mountain range separating Lindon from Eriador. Extending 590 miles from the Ice Bay of Forochel down to Orod Elu in the south, the range is formed of grey rock with a bluish tint caused by a high concentration of copper ores. The mountains are riddled with natural caverns, marble and limestone formations, and once held precious metals, though Dwarvish mining has left them depleted of gold except for minor remote veins. Geology consists of marble and limestone with folded sandstone and shale foothills. abundant copper, iron, and tin ores are actively mined by the dwarves (naugrim).","Ered Luin stands as a vital mining zone and barrier separating Lindon from Eriador, with secret, rune-guarded passes. The Blue Mountains are ancient and run north-to-south, heavily composed of marble and limestone with massive natural caverns. Snowfields and icecaps are present year-round on the northern range, while pine trees disappear over 5,000 feet. Mineral copper deposits give the peaks their bluish tint.","Finished goods, iron, tin, copper, lead.",10520.5540014131,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
47,Ered Luin,province,24,"Ered Luin, also known as the Blue Mountains, is an ancient mountain range separating Lindon from Eriador. Extending 590 miles from the Ice Bay of Forochel down to Orod Elu in the south, the range is formed of grey rock with a bluish tint caused by a high concentration of copper ores. The mountains are riddled with natural caverns, marble and limestone formations, and once held precious metals, though Dwarvish mining has left them depleted of gold except for minor remote veins. Geology consists of marble and limestone with folded sandstone and shale foothills. abundant copper, iron, and tin ores are actively mined by the dwarves (naugrim).","Ered Luin stands as a vital mining zone and barrier separating Lindon from Eriador, with secret, rune-guarded passes. The Blue Mountains are ancient and run north-to-south, heavily composed of marble and limestone with massive natural caverns. Snowfields and icecaps are present year-round on the northern range, while pine trees disappear over 5,000 feet. Mineral copper deposits give the peaks their bluish tint.","Finished goods, iron, tin, copper, lead.",41725.7060154174,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
34,Ered Luin Vales,province,26,"The Ered Luin Vales encompass the central valleys, river passes, and sub-alpine basins of the Blue Mountains. This region is centered around the Nan-i-Naugrim (Dwarven Vale) and the headwaters of the River Annuduin, where the Dwarves established a complex network of fourteen holds, including Merlost, built on the ruins of ancient Belegost.","The Dwarven Vale serves as a central hub of trade and industry in western Eriador, connecting Elven Lindon with the kingdoms of Men.","Finished goods, iron, tin, copper, lead.",14794.6834807353,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
70,Eregion,province,34,"Eregion is a Noldorin-founded realm on the western side of the Misty Mountains, centered on the great city of Ost-in-Edhil and famed for its jewel-smiths, close friendship with Khazad-dûm, and the forging of the Rings of Power.","This object treats Eregion as the larger political and geographic region surrounding Ost-in-Edhil in the Second Age. Lórien, specific city sites, and Khazad-dûm are to be modeled as separate region or site objects.",,63158.2631647304,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
10,Esgaroth,province,25,"Northern Mirkwood is the northern half of the great forest once known as Greenwood the Great, stretching between the Anduin, the Grey Mountains, the Withered Heath and the upper River Running, and including Thranduil’s woodland realm, the Long Lake, the Lonely Mountain and the Iron Hills.","This object treats Northern Mirkwood as the combined forest, mountain and river system north of the Men-i-Naugrim in T.A. 1640, including Thranduil’s woodland realm, the Grey Mountains, Long Lake, Erebor’s immediate environs and the Iron Hills; specific cities such as Lake-town and Dale can be modeled as separate site objects.","Silk, timber, jewelry, herbs, fruit.",5631.20874899572,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
44,Ettenmoors,province,35,"Rhudaur is the eastern successor state of Arnor, a rugged, sparsely settled land between the Ettenmoors, the Trollshaws and the Angle. It stretches from the Ettenmoors and Ettendales in the north down through the Pinefells and Trollshaws to the rolling lowlands between the rivers Mitheithel and Bruinen, forming a harsh frontier of jagged hills, evergreen forests, boggy vales and predator-haunted woodlands.","This object isolates Rhudaur as a region within Arnor: The Land, focusing on geographic subzones (Ettenmoors, Ettendales, Pinefells/Coldfells, Trollshaws, Coed Drug, Angle) and mapping the general Flora & Fauna of Eriador onto these specific landscapes. The key Rhudaur-specific ecological elements are the Pinefells evergreens, the Coed Drug ancient 'Evilwood', the losrandir herds and the concentration of Hill and Forest Trolls. Climate and hydrology are dominated by snow-fed highlands (Ettenmoors/Ettendales) and the swift Mitheithel, with constant winds limiting agriculture to narrow riverine bands.[file:132]","Hides, copper, mercenaries.",26903.6584375637,Tue May 26 2026 16:23:30 GMT-0300 (Argentina Standard Time)
