id,external_id,name,location_type,population,race,description,region,image_url,geom_wkt
456,125192817421a689c47d02e86b8e7513,Calembel,city,2000,Gondor,"The main town of Lamedon was Calembel (S. ""Greenham""). It was conveniently located on a slope east of the fords of Cyril, on the road linking the center of Gondor with the mining communities of the southern White Mountains, where people from across Lamedon and the northernmost part of Mornan traded goods with each other and with merchants in the capital. The city was essentially a trading post, supply center, mineral trade and served the needs of the people of Lamedon and the provincial government of Ost-en-Girilthir. Most of the ore was shipped directly to Linhir and Pelargir.",,,POINT(11.577131 43.689014)
457,12861aa0bb58c19dd55228f70e240f6b,Ciudad de Bree,city,1500,,"Bree is the largest city in Breeland, a region of Arthedain that is peaceful, agricultural, and largely self-governing. The city is built around a large hill and is protected by a formidable dyke topped by a thick hedge. Numerous Hobbit holes can be found. on the flanks of the Bree Hills. Both men and hobbits live in Bree, making it one of the few places in Middle-earth where cooperation between people of different races occurs. Due to its central location, Bree sees many strange people passing through its streets, and the city is a perfect place to acquire or sell information.",,,POINT(1.228323 51.560255)
458,13328700f334769383730b40c93d2add,Greenholm,town,310,"Humans, Hobbits, Silvan Elves","It was a quiet and peaceful outpost of a few Arthadan families coexisting with a few Elves living nearby in the middle of the Third Age, helping to observe the comings and goings of mortals for the lords of the Havens and a handful of Hobbits, tending traffic. . One of the Elves, Sinda Calenlinn, was an expert herbalist fond of fermented grains.",,,POINT(-3.382751 51.39257)
452,0d1123b21ecdf4915a1414dfbdc79bd8,Minas Thonfalon,ruins,,,"Ruined tower. The ruin was located in the middle of the ""Swamp Coast"", and its foundations were slowly sinking into the waterlogged ground.",,,POINT(-3.694613 47.422739)
455,0fefd0115eb8dc430522a1ee0368e24e,Haerlond,point of interest,,,,,,POINT(1.892833 40.529686)
460,1534c928808a039095dd49e5eb3d37b9,Lomost,fortress,120,Gondor,,,,POINT(3.325376 40.91388)
461,155d4c11e6dc874f9b09cb0dd0f37f1b,Ethring,city,1300,,"Ethring (S. ""Cold Spring"") was just a city with its 1,300 souls, established during the Gondorian conquest on the eastern bank of the Ringló at the junction of the Rathon Arat. Its name was derived from the icy waters that flowed from nearby mountain streams. The upper Ringló Valley counted as part of Lamedon and was a sparsely populated intermediate region on the border of Lebennin. Most of the large farms in Lamedon were in the area, and Ethring became a large market town at harvest time, taking advantage of the traffic along the Gondor Road and serving the needs of the surrounding area and of travelers heading west or east. Mining and blacksmithing were among the subsidiary industries. Like the other cities of Lamedon, Ethring maintained a ""rustic"" feel, especially in comparison to the busy seaports of Gondor. Locals in Ethring and other nearby towns were more likely to be suspicious of strangers and peculiar behavior than their more worldly relatives, and travelers had to work hard to blend in.",,,POINT(12.41734 43.320786)
464,16cbb3fddb6eb25580cda7bcfc7f71e9,Harlond,city,650,,"Harland is a nicer place than Forlond or Mithlond, a place of simple pleasures rather than great achievements. Almost invisible from the sea, Harland hides behind a promontory that protects it. Few of the large swan ships depart from this port, although many small elven pleasure craft anchor here before setting sail.",,,POINT(-8.135416 50.782548)
465,1978c4880d101efe741d9f6709199d4f,Eithel Thurin,town,620,Corsairs,"Eithel Túrin (S. ""The Well of Túrin"") was a quiet village of several hundred, situated halfway between Methir and Barad Harn. It was founded in T.A. 932 by Gondorian veterans who had been wounded in the fight against Haruze and Umbarea.",,,POINT(13.750343 39.180084)
466,19f01cb59625b48166dd6ffef0991750,Minas Arthor,city,5000,Gondor,"Minas Arthor, once the capital of Arnach, was situated at the crossings of the Erui, where there had been a settlement for as long as the chronicles could see. The city was founded at the beginning of the Third Age, and soon became the center of the prosperous agricultural district.",,,POINT(16.769285 42.493854)
467,1a056b5e31d35c42e643f9f716ee1b84,Lond Rhaen,village,120,,,,,POINT(0.966925 39.862769)
468,1a43bb9d28424d1c7a09348ba2f53e46,Mirimar,city,560,,,,,POINT(-10.308741 52.60319)
469,1c4692f658908ed6ebfc090f4b3ab0a5,Bar Astirian,manor,20,,"Astorion Manor (S. ""Bâr Astorion"") was the former home of House Astorion, a noble Gondorian family. It was situated on the outskirts of the Entwash Mouths, north of Min-Rimmon, where the family had extensive lands.",,,POINT(14.603374 45.026475)
471,221d7d6f3912b1b81ab7b3186ce88fb3,Gram,dwarven mine,1000,orcs,"The Witch King's servants have erected a fortress
mountainous on the southern branch of the Mountains
Cloudy that forms the Nan Angmar. Grames the strength
most important orca to the west of the mountains, and no man has managed to escape alive from its depths to be able to coherently explain its interior.",,,POINT(7.71789 54.443782)
473,22fe3e29220c0d9a82bfb2680d8b854a,Tharbad,city,21345,,"Since the fall of King Ostoher in the year 1410 TE, the ancient Numenorean port of Tharbad has been losing the glory it once possessed. However, Tharbad is still much larger and more impressive than any other urban center in Eriador. The petty rivalries present among the surviving princes of
Cardolan materialize in fights and disputes between the different guilds and factions within Tharbad.
The city's thieves are gaining in power and daring
to each passing season, and the Plague refugees do not
They are more than another problem for the administrators of the
city. Gondor's stationed officer in Tharbad, the
Boating, keeps the peace as much as possible, but the
city seems destined for self-destruction. Only the
importance of Tharbad as the main commercial center of
All the lands north of Gondor keep the city alive.
Goods from all over the Earth
They pass through Tharbad on their way to the rich estates of Cardolan and Arthedain, although there seems to be very little wealth in the homes of the poor citizens of Tharbad.",,,POINT(3.094174 48.841242)
475,23a6ef21a52eb11823391f20df3fc5a7,Bar Engui,village,60,,,,,POINT(-0.162456 40.376272)
462,15ba230084a51abb21a6873b76a635a0,Fornost Erain,fortified city,3100,Dúnedain,"Located on a steep rise on the southern slopes of the North Downs, Fornost had been both a fortress and a town. It was chosen to be the royal seat of Arthedain after the sack of Annúminas in T.A.1409. Since then, a somber mood had permeated all aspects of life at court, as the Dúnedain were ever ready to face another assault from the Witch-King. Despite, or perhaps because of, the ever-present threat of Angmar, the people of Arthedain were a spiritual people dedicated to introspection. The wisest scholars and largest library of the Northmen were at Fornost.",,,POINT(1.475915 53.015801)
463,1691e47321554c359e67eaa3f4b72b85,Galenros,point of interest,,,,,,POINT(-6.386798 53.375535)
470,212b1c186141ab63909ccb43e5d88c00,Ossarnen,point of interest,1400,Gondor,"Setmaenen, known as Ossarnen to the Dúnedain and the Gondorians. It is a small mining town in the province of Lamedon and site of an ancient sacred site of the Mountainmen, located very far from the main road that runs through the interior of Gondor. The word Ossarnen alludes to the most prominent features of the Setmaenen Stones, a pre-Númenórean ceremonial complex of megalithic structures outside the city.",,,POINT(11.391809 44.11232)
476,25d3ae62f10cbc7919506ae65fd7dd2c,Athrad Poros,town,450,,"The city was an important stopping point for land trade to the south. It began as a military garrison whose purpose was to protect the border between the fledgling Kingdom-tn-Exile and the Umbarean sphere of influence beyond. This outpost gradually took on civilian characteristics during the time of the ship kings, as the northernmost reaches of Haradwaith became the province of Harondor. With the opening of the Harnen Corridor, Athrad Poros suddenly became a critical juncture for the land trade route with Near Harad and Khand, and increased in size accordingly.",,,POINT(18.127267 40.357852)
477,28a90db52bc32e64d25b3ba266dd7c80,Rood,town,280,Dúnedain,"Rood (originally known as ""Ruaduin""), once the largest city on Nan Turnath, contrasts with the robust resistance of Bree and Fornost. Long a hum of cross-country commerce where the ancient King's Road met the Baranduin River, it suffers the effects of plague and the general incompetence of its feudal master, Cristion or Nengaran. Rood gives the appearance of a dying town. One of the few places in Arthedain to be affected by the plague, probably due to the location of the river and the timing of the epidemic's arrival (mid-summer), many of its two hundred stone houses are abandoned and decaying. Rats and mice greatly outnumber the male residents, and pest control is becoming a serious problem, particularly as a good portion of the surviving population fled to Fornost.",,,POINT(0.44034 52.870134)
480,2ca07fa0e4327709a553cdaef455adce,Tir Feren,castle,80,Gondor,,,,POINT(2.740454 41.548916)
481,2cfbecb372b043aee8f642cd6a7b86ed,Car Gaul,manor,30,,,,,POINT(1.549864 42.010386)
482,2d63757ee0677b0d14e6ef15cf80e497,Mithlond (Puertos Grises),city,9200,"Nandor, Sindar, Noldor","Mithlond was ruled by Círdan and his advisors directly; It was the only part of Lindon that was guided by a structured group rather than by a noble house or community councils. The population in any period (excluding periods of substantial exodus) was around a quarter to a fifth of the kingdom. Traffic across the Gulf in fast, elegant elven ships is fairly regular. At night, lanterns on the bows of elven ships make the Gulf dance with brilliant lights. As with most Elven cities, Mithlond is a place of magic and beauty. Most men avoid Mithlond out of fear, and the Elves see little reason to meddle in the small affairs of the mortal races. However, Mithlond is an open city, and the elves would not turn away an honest traveler seeking its gates, although their welcome might seem cold to those not well acquainted with their customs.",,,POINT(-5.813533 51.636483)
483,2f80c0f3f97fa5120648aac455745217,Linhir,city,4100,,"Linhir (S. ""River Fords"") was prosperous and busy, and a large population of unseemly characters had become prey to the weak and gullible. A wall dating back to the time of Númenor surrounded the city, which had been an important urban center for millennia.",,,POINT(13.13929 41.259747)
484,2fb7c7e28436f4bd9c61816182aed529,Bar-i-Dinuviel,town,244,Noldor,"Bar-i-Dinuviel (S. ""Home of the Nightingale"", Os. ""Mbar Tinduvela"") was a fishing village on the coast of Dor Tinuviel.",,,POINT(-7.395721 48.731791)
485,3111faba40b284fcb721cbdcf31ac234,Edoras,city,1600,Rohirrim,,,,POINT(9.385098 45.345745)
487,31a29acf8ccc956ecf4321750e626859,Litash,city,3400,Sauron,Training center for priests of the Dark Religion; base for tax collection in eastern Angmar.,,,POINT(9.489663 54.634588)
489,330a8f4cdc4243eab59df18dc11bc301,Himihiril,castle,50,Gondor,,,,POINT(-3.212527 54.57971)
490,33776f6e655140f9d3dcf37a1f809675,Pueblo de hombres de los bosques,town,200,Woodmen,"It was a small village of the Woodmen in the Upper Anduin Vales. It was partially built on large platforms in the trees in elven fashion, as the Woodmen were on friendly terms with the Wood Elves.",,,POINT(16.365852 51.231894)
491,364708d6d5fa3c5222b7232ac0755ec8,Turonost,city,890,Noldor,culeros,,,POINT(-11.932362 55.033719)
492,39a1fb6f2b80d2adcf19c573d6e18ad2,Arailt,fortress,120,Dunlendings,"Arailt Hold was the ancient clan of the Dunledino Arailt clan. By the days of the War of the Ring, the place had long been abandoned and the Rohirrim had established a scouting camp above the Ruins and Caves nearby.",,,POINT(6.432063 47.021704)
493,3a0e8f7057a10fdba04997b4c64e5c03,Cerin Amroth,manor,,Elfos Silvanos,"Cerin Amroth (S. ""Hill of Amroth"") was the site of the house of King Amroth of Lothlorien during the Third Age.",,,POINT(12.115104 49.415377)
494,3a6a1f51e11f666f2597c738833772d8,Fennas Drunnin,town,430,,"A Council directed most affairs in the town, which depended on local farms and vineyards for its prosperity. Some hobbits lived nearby, but generally avoided contact with the townspeople. As it was so far from the main roads of Cardolan, few visitors entered Fennas Drúnin, but it was a good base for anyone wanting to explore southern Rhudaur or the Elven ruins of Eregion.",,,POINT(5.871737 50.178819)
496,3d368f4dc9bafeeb9ae34a63791ffd66,Mindolhendi,city,900,,,,,POINT(-8.571719 55.929858)
554,850a1cb58a471a45f6dc25bffa830125,Haerlond,town,390,Gondor,,,,POINT(-2.935146 38.976766)
873,,Town,town,,,,,,POINT(-0.109475780513291 51.337187824592014)
479,2c1d9a8d2a5d1ab62942438dfd375a62,Minas Tirith,fortified city,25000,Gondor,"Originally called Minas Anor, it was a large city at the foot of the Ered Nimrais. Together with Osgiliath, the Citadel of Stars, and Minas Ithil, the Tower of the Moon, the City of the Sun formed the core of Gondor, the most powerful kingdom in Middle-earth.",,,POINT(17.422569 43.158864)
497,3d50c595ccaa0ae4f93d96ce0dd050c6,Eredimar,village,92,"Elfos Silvanos, enanos, Gondor, Hobbits","Often confused with Eruimar, the town of Eredimar (S. ""Mountain Home"") was about fifty miles southwest of Lonely Home. Located within the valley of Imladorn (S. 'The Wooded Valley'), Eredimar lay at the foot of the Ered Luin (hence its name). Due to its isolation, Eredimar was nothing more than a small collection of houses with a population of less than 100 people. However, it was notable due to the wide variety of cultures contained within it. Hobbits, dwarves, elves and men had all made their homes within this village at one time or another. Furthermore, the Sulfur springs located in the vicinity of Eredimar gave the village renown as a place of healing. Three well-maintained lodges awaited travelers who passed by, for news of the picturesque beauty and health benefits of Eredimar reached the ears of many.",,,POINT(-7.199672 52.568257)
501,4291252739bbc7141616918bcaba22ad,Nan i naugrim,dwarven mine,430,,"The largest mine in Nan-i-Naugrim and the capital of Broadbeam since the Second Age. In the middle of the T.A. and in later times, Edennogrod was the largely ruined Khazad that stood above Nan-i-Naugrim. At the end of T.A. ruled by the feudal Lord Grár, with an honorary title ""The Mountain King"" for the Shire people.",,,POINT(-7.108307 54.632519)
504,440c871cf631fbad125559f4e3d7fcea,Minas Girithlin,castle,60,,"The castle had withstood many sieges, as could be seen by the numerous scars left by flames and missile engines on its exterior.",,,POINT(-2.625009 48.761944)
505,443fc38145c4ef1c1899d04d3d02ce4d,Bar Adorn,town,600,,prueba,,,POINT(3.388161 46.091757)
506,46d9ea208b4d78d838a35cbfe57ccc5f,Saerthondost,fortress,200,Gondor,"Saerthondost was one of two Dúnedain strongholds that protected the Pinnath Gelin and Len Lefnui from the wilds of Hairaverkien. The fortress was located on the north bank of the Lefnui at the point where that river turned sharply to the northwest after its southward descent out of Nan-i-Feryn. Saerthondost received its name from the fairly extensive swamps that accompanied the bend of the river, which were rich in herbs used by the shepherds of the Mesta. The fortress had a lighthouse tower that linked it to its sister Pinnornost, to the northeast. Like the last fortress, Saerthondost was founded in T.A. 823 and abandoned at T.A. 2157, in concert with the fluctuating needs of central Gondor's land border with Hairaverkien.",,,POINT(3.287055 42.466171)
508,481a34f0a4593aa08c7b358c62091a35,Adavalinda,village,140,,,,,POINT(1.378078 41.886452)
510,48d6956a9e549bdf8867e069a7424d2c,Thingastathbaurg,town,150,Hombres del bosque,,,,POINT(13.723291 53.101593)
512,493a02d2bcbd0fb36907edb7ea0eecaf,Michel Delving,town,650,Hobbits,"Gamwich was Westron's translation of the Halfling name ""Galabas"" (W. ""Playful Place""). The village was located in the Westfarthing of the Shire.",,,POINT(-2.454585 51.363869)
555,8606fc2022212421702bfc7856e27660,Fanduin,city,500,,"The city had a fairly large population of 4,100 in TA 250. However, its population declined after the middle of the Third Age and the settlement was eventually abandoned at the end of the Third Age.",,,POINT(0.618315 52.568654)
874,,town,town,,,,,,POINT(0.110795383046252 51.445392173867724)
498,3d84453a5c46f62464fcb2edc61b25e1,Filimer,ruins,,,Ruined city,,,POINT(4.034143 49.498538)
499,3df2661c13cb9ec080b86da4f7a5298b,Bar Irlossiel (castillo silencioso),ruins,,,"Ruined castle. Barad Perinluoss, commonly known as the Silent Castle, was an ancient elven refuge in southern Sîrgala, an independent community of wood elves and Arthadan religious refugees. They had pledged fealty to a half-elf wizard known as Iralussiel the Tranquil. Iralussiel had died mysteriously around the 11th or 12th century A.T. and the shelter became almost alarmingly peaceful. Few men or elves visited the place.",,,POINT(-1.862215 50.200255)
556,880eec93a3c2b8ebcf3a15446efc8c72,Pelargir,fortified city,2500,Gondor,,,,POINT(16.156195 41.256614)
513,4a24da5b5ac1a6c3fb9cdd15d503819f,Vidusbaurg,town,520,Northmen,"Buhr Widu, situated near the small lake known as
Lake of the Forest, retains some of the royal splendor that shone during the times of Vidugavia, although the Grammuz princes who have ruled it after the Plague have lacked the strength necessary to regain its former glory.
Like most other Nordic villages located on the plains, Buhr Widu is made up of a group of long houses made of wood and straw, each of which houses about twenty individuals, in addition to livestock. For defense, the bosses have added an earthen wall and a series of sturdy wooden towers.",,,POINT(20.2981 50.405638)
514,4be9468f854fa8a1dcb64764ace32902,Morkai,castle,1000,Sauron,"Barad Morkai rises on the top of a promontory
of granite that watches over the Way of Angmar. The fortress is made up of thick walls and square bastions, and was built to resist the most powerful siege engines.",,,POINT(6.60636 55.068171)
518,5782c24e1c9a90bd8ae93a0624d9e87d,Tilmendir,castle,140,Gondor,Surveillance of traffic passing from Westmarch to Anfalas; A show of authority for the local Dunnish tribes.,,,POINT(6.214492 45.163506)
522,5abbd6f333ee1250e91efc4a02013c02,Bodroth,city,0,,"Bodroth was a municipality of Eketyar in Arthedain. It was located on the northern shores of Lake Evendim, about forty miles north of Annúminas. The city had a fairly large population of 4,900 in TA 250. However, its population declined after the middle of the Third Age and the settlement was eventually abandoned at the end of the Third Age, although it had survived the fall of the last King for several generations.",,,POINT(-1.098611 53.3107)
523,5cbba5e7606045d742bbfc0cd65aa0b1,Culwic,town,400,"Gondor, enanos","Culwic, originally established as Himtil or Himobel (S. ""Chill village"") and known as Colwich in the Third Age, was a small town in western Arthedain. It lay just north of the borders of Dor Lelvin and Lindon on Little Lune. . It consisted of 400 men and some dwarves. Their industry and agriculture were primarily dedicated to supporting dwarven settlements to the north.",,,POINT(-6.450549 53.936333)
525,5ee93f5bc3e4001805d234e95a79657d,Cirith Dudhrandir,town,450,,"Cirith Dudhrandir was the only major pass through the mountainous Belfalas Peninsula. It was also the only mountain pass in southern Gondor that had a paved road, making it of greater strategic importance for the defense of the kingdom. With a height of 5,800 feet, the Cirith Dudhrandir was also the longest pass in southern Gondor, stretching more than sixty miles from east to west, and almost equaling the width of Belfalas. The pass was named after S.A. 3400. when Edhelion of Eldalonde, then Captain of the Faithful in Pelargir, received the peninsula to the west as a fief.  Cirith Dudhrandir was guarded by the fortress of Naur Amrûn, and two houses of knights controlled the lands along the eastern approach of the pass. The prince retained the western ascent of the pass (to Naur Amrûn) as his own property; travelers using the pass could find accommodation in the courtyard of Naur Amrûn or (more rarely; as guests of one of the landed knights). There was an inn for travelers in the small village that lay in the prince's land west of Naur Amrûn.",,,POINT(10.161853 41.049572)
526,5f7b31b1e45bc32f9710965931ec02be,Anghul,castle,80,Sauron,,,,POINT(5.880489 55.633701)
527,60d41486e9354c4d4dd2445e69e812e8,Forlond,city,780,Noldor,"The elven refuge located in Forlindon is hidden and protected
through a steep fjord. A sheltered harbor protects
to the numerous elven vessels of the harsh climate
of the Belegaer. Although it is not as densely populated as
the nearby Gray Harbors, Forlond is an important center
urban for the coastal elves. Few mortals have arrived
to visit the city, where the elves spend centuries building
beautiful and graceful boats intended for
take them to the other side of! Belegaer, to Aman.",,,POINT(-9.783386 52.192311)
529,62ee9d110b26b1dfee272ff8634879da,Malehaut,village,45,,,,,POINT(-3.251467 47.012628)
570,96e3c8c5ca8e87d9f19586a2defc791a,Tir Lawen,city,600,,,,,POINT(-9.050462 51.986118)
521,59cf3830ff27cef7e73d05bbe03b3805,Guinnion,ruins,,,Ruined village,,,POINT(-1.168778 47.430766)
517,556e0b805bb4afe0be501c6fb7924f5e,Bar Morthil,point of interest,,Dúnedain,,,,POINT(-3.144798 39.274599)
531,650c99a437e0cce7a326674897da17d6,Laur Dunnen,town,420,,"Larach Duhnnan is located on the territory owned
of Clan Feargan, but foreign traffic passing through
makes it a great neutral place for discussions and exchanges between tribes. No walls surround the town, as residents rely on the nearby fortress of Clan Feargan for defense. Larach Duhnnan also lies at one of the few accessible crossings of the small river known as Dunstrem, and so the clan lords charge a moderate toll for all who wish to cross the bridge.",,,POINT(4.330594 47.761037)
532,65907bd900d495733194dcf01f5f1dde,Aerost,fortress,300,Gondor,,,,POINT(3.626902 41.034679)
533,67efb3b67cdd1b2fd62ecb938e847972,Talsir,town,250,,"Talsir was one of the free cities of Cardolan. It was located on the west bank of the Gwathló River, about one hundred and seventy miles downstream from Tharbad, providing an important stop for travel along the river between Tharbad and Ethir Gwathló. The city had a fairly large population. of 4,300 in TA 250 and was one of the few settlements of ancient Minhiriath to survive until the end of the Third Age.",,,POINT(-0.234818 47.538839)
534,681965fb86a89207792118ea20e07ff9,Framsburg,city,340,norteños,"Although it is not directly under the rule of the King
Warlock, Wraecaburg suffers frequent attacks, and within lives a series of unpleasant characters from lands other than Rhovanion. The men of Wraecaburg occasionally trade with their relatives from Maethelburg, but the latter increasingly view the men from the northern valley with more suspicion.",,,POINT(14.009562 54.17404)
539,7019dd7f9f38eca5ad9f1305d1aec81b,Annulond,city,1200,Gondor,,,,POINT(1.770028 41.004206)
540,703e799a1608a3b9ff4ba4d98bf4f5bd,Gamwich,town,120,,"Gamwich was Westron's translation of the Halfling name ""Galabas"" (W. ""Playful Place""). The village was located in the Westfarthing of the Shire.",,,POINT(-3.155729 52.02727)
542,72157ca5d66a0573a56b3e8a6faabf35,Bar Nevedui,castle,600,gondor,,,,POINT(-2.29744 39.175898)
543,737cd8e5ebf3e66dbf23ade112de8011,Lorilad,village,89,,"Lórilad was a fortified town of Lebennin situated in the Ethir Anduin, approximately seventy-five miles downstream from Pelargir, halfway between the great paradise and the western cape of Lebennins.",,,POINT(14.580513 40.790865)
544,75990a293755b179f5736ad958400efe,Sindbar,town,540,Gondor,,,,POINT(16.166696 44.061143)
546,77d37e506c88125d784b139a91d2b8c5,Sackville (Sacovilla),town,110,Hobbits,"Originally, Sairinan (S. ""Valley of the Wizards"") had been an ancient Eriadoran village in ruins after the Second Northern War. The Northmen who had settled here after T.A. 1412, fleeing trouble at Cardolan, had forgotten the village's old name in favor of Saccburh. Later, when Hobbits formed the majority of its population, its name Sackville gained. Proximity to the rugged Red Hills Men of Eriador lent a (not entirely undeserved) reputation for cruelty to the residents of Sackville, who had taken on many of the boorish ways of their neighbors. Southfarthing's second largest town, scene of wheat fields and orchards along the River Fayne and terraced vineyards and melon fields on the nearby hills. Sackvillians were rare among hobbits because of the pride they took in selling their wares ""off limits."" Sackville wine and leaves reached distant Saerlann in the south and even Dale in the wild far east.",,,POINT(-1.551914 50.704271)
548,7ca62dfc23b7be2ef8254d8924249fdc,Buzdum Mazar,dwarven mine,490,Dwarves,"The largest mine in Nan-i-Naugrim and the capital of Broadbeam since the Second Age. In the middle of the T.A. and in later times, Edennogrod was the largely ruined Khazad that stood above Nan-i-Naugrim. At the end of T.A. ruled by the feudal Lord Grár, with an honorary title ""The Mountain King"" for the Shire people.",,,POINT(-7.283618 54.590338)
549,7df88f8d7e3218d96af25370a52d4ce1,Minas Brethil,city,3000,,"Minas Brethil (S. ""Silver Birch Tower""), the capital of Celossien, was situated in the upper Serni, and was a center for the agricultural region between Glinduin and Serni. The town began to grow in the 4th century when the surrounding countryside was settled. After the Kin Fight, Minas Brethil had approximately 4,000 inhabitants, a number halved in the plague and only recovered in the late 20th century.",,,POINT(15.13078 42.223616)
552,83b667b645b766f8d319f13ce83d8ca3,Barad Eldanar,castle,400,Sauron,,,,POINT(5.714704 54.61147)
538,6e182f410f716a021ddf51be662a827d,Endrist,ruins,,,Ruined city,,,POINT(-3.934113 50.51091)
545,76dfe74b025986ac0f4ebb77b57d9539,Larad,ruins,,,Ruined city,,,POINT(-4.625452 55.090882)
551,8092b4e9ff96ef0fca43812a665b6a64,Maegoth,ruins,,,Ruined city,,,POINT(-1.537858 53.032579)
550,8047934e8120045a7dfdd987a70b4a80,Cithrenor,ruins,12,,Ruined town,,,POINT(-3.529856 49.026391)
536,6bbb1c408a02daac53e41d565a15fea4,Caras Galadhon,fortified city,800,Elfos Silvanos,"A fortified but beautiful city in the heart of Lórien. It is an interconnected Telain network, supported by the enormous trunks of large mallorn trees. Galadriel herself devised the plan for the city, recognizing the danger her kingdom would have to face when Sauron first forged the Ruling Ring.",,,POINT(12.542319 49.212858)
530,6442aa8e9dbeb487c3a787e44786eb05,Iant Methed,point of interest,5,,"The last bridge, so called because it is the farthest east from the road, was built of stone with three large arches. This bridge was built at the height of Arnorian power in T.A. 320. In Rhudaur's constant petty wars, the location was generally considered neutral ground. The Last Inn, a business once run by Rubb and Bura Grumm, stood near the bridge virtually undefended, as it had been for several generations. Just northwest of Iant Methed and across the Mitheithel were the ruins of Dol Elerilde, the stronghold of an old lord of Rhudaur. The Grumm family had survived that noble line.",,,POINT(6.656038 51.505654)
557,8a30ed251c814ab07981a8f8297d81f0,Metraith,town,340,Eriadorians,"A city located at the junction of the Redway and North Road, later after the split from Arnor, the Cardolan king had used the city as a summer retreat called ""Thalion"". The princes of Dol Tinereb dwelt in a great ruined mansion in Metraith. As one of the few remaining viable cities between Bree and Tharbad, Metraith had become an important supply center for caravans, as well as a base for the tougher types it attracted to trade along the way.",,,POINT(1.30749 49.536729)
559,8db29c09f4bbb933338abeb89a583e7a,Tir Eiliant,manor,30,Gondor,,,,POINT(1.927719 41.294802)
560,8ded0d2f712cc9da8128283409069cd1,Archet,town,100,"Humanos, Hobbits","Archet was made up of about thirty-five stone houses located among rolling hills cultivated with crops. A pleasant village, it produces an unusual cheese due to a species of wildflower that grew only in the immediate surroundings of the Archet. The Arinyalasse (Q. ""Morning-petal"") was created by the villagers' goats. Archet was three miles from Bree and about a mile from the Greenway. Like the rest of Bree land, the region was quite fertile.",,,POINT(1.345125 51.628198)
562,8f218bbd2ef709fe97a98279b6093117,Gundabad,dwarven mine,2400,orcs,"Mount Gundabad was an important Dwarf enclave in the northern Misty Mountains. It was occupied by the Orcs several times, and became their capital.",,,POINT(11.477501 54.99107)
