"interaction_type","location_id","location_type","region_id","cultural_family","title","description","rest_quality","shadow_effect","priority"
"overnight","","","4","","","Even in the healthy north of the wood, sleeping under Mirkwood's eaves means keeping to a small camp and a smaller fire; the canopy shuts out the stars and the forest is never wholly still. Rest is watchful but not unkind where the Wood-elves hold sway.","1","0","40"
"overnight","","","74","","","There is no rest in Mordor, only endurance. The air tastes of ash and sulphur, the ground radiates old heat or dead cold, and the red glow of the Mountain never truly leaves the sky. A traveller does not sleep here so much as wait, hollow-eyed, for a dawn that brings no relief.","0","2","40"
"overnight","","","76","","","A night in Nurn is spent among salt-fens and slave-fields under a smoke-stained sky. Less utterly dead than the north of Mordor, it is still a joyless, watched country; rest is shallow and the bitter sea-wind carries the misery of the land.","0","2","40"
"overnight","","","83","","","To sleep beneath Dol Guldur is scarcely possible; the Hill of Sorcery bleeds dread into the whole wood. The dark is absolute, the silence wrong, and the will itself feels weighed and probed. No fire, no rest, only the longing for morning and distance.","0","2","40"
"overnight","","","73","","","A night in Forochel is a battle with the cold: no wood to burn, only the shelter a body can scrape from snow and rock, the wind constant and the aurora cold overhead. Yet the silence is clean, not evil, and one who survives the chill wakes to a world of blinding white.","1","0","40"
"overnight","","","58","","","The Old Forest does not rest easy around a sleeper: the trees lean and mutter, the paths shift, and a drowsy heaviness creeps in that is not quite natural. Best to keep to open ground away from Old Man Willow's reach, and not to sleep too deep.","1","1","40"
"overnight","","","21","","","A night at large in Enedhwaith is a lonely one: wind-flattened heath rolling empty to the horizon, a faceless standing stone the only landmark, and no sound but the wind. The bleak beauty is real, but so is the solitude; rest is plain and undisturbed, if cold.","1","0","40"
"overnight","","village","8","","","A settlement clinging to the edge of Dagorlad is a grim, half-abandoned thing of earthworks and watchful eyes, its people hard and few, the battle-plain's dread pressing at the palisade. A roof, yes, but little rest and less warmth.","1","1","80"
"overnight","","town","8","","","A settlement clinging to the edge of Dagorlad is a grim, half-abandoned thing of earthworks and watchful eyes, its people hard and few, the battle-plain's dread pressing at the palisade. A roof, yes, but little rest and less warmth.","1","1","80"
"overnight","","village","46","","","Any dwelling in Angmar is the enemy's own: a slave-town or war-camp under the Witch-king's hand, cold stone and colder faces, watched by warrior-priests. To pass a night here is to hide in plain sight and pray to go unnoticed.","0","2","80"
"overnight","","town","46","","","Any dwelling in Angmar is the enemy's own: a slave-town or war-camp under the Witch-king's hand, cold stone and colder faces, watched by warrior-priests. To pass a night here is to hide in plain sight and pray to go unnoticed.","0","2","80"
"overnight","","village","74","","","The only 'settlements' in Mordor are barracks, slave-pens and orc-holds. To shelter in one is to risk everything on not being seen; there is no hospitality here, only walls and the constant nearness of the enemy.","0","2","80"
"overnight","","town","74","","","The only 'settlements' in Mordor are barracks, slave-pens and orc-holds. To shelter in one is to risk everything on not being seen; there is no hospitality here, only walls and the constant nearness of the enemy.","0","2","80"
"overnight","","village","76","","","A Nurn slave-village of mud and reed along the bitter sea: wretched, watched, and joyless. A traveller might pass unremarked among the broken folk, but rest is thin and the overseers' eyes are everywhere.","0","2","80"
"overnight","","town","76","","","A Nurn slave-village of mud and reed along the bitter sea: wretched, watched, and joyless. A traveller might pass unremarked among the broken folk, but rest is thin and the overseers' eyes are everywhere.","0","2","80"
"overnight","","village","3","","","A woodman's stockade in southern Mirkwood, palisaded against the dark, its folk grim and few and quick to bar the gate at dusk. Shelter of a sort, but the whole settlement holds its breath against the wood.","1","1","80"
"overnight","","town","3","","","A woodman's stockade in southern Mirkwood, palisaded against the dark, its folk grim and few and quick to bar the gate at dusk. Shelter of a sort, but the whole settlement holds its breath against the wood.","1","1","80"
"overnight","","village","4","","","A woodmen's or wood-elf settlement in the healthier north of Mirkwood: a guarded clearing, a shared fire, wary but real welcome. Safe enough behind the palisade, though the forest presses close.","2","0","80"
"overnight","","town","4","","","A woodmen's or wood-elf settlement in the healthier north of Mirkwood: a guarded clearing, a shared fire, wary but real welcome. Safe enough behind the palisade, though the forest presses close.","2","0","80"
"overnight","","village","73","","","A Lossoth village of the ice: houses of packed snow and whalebone, seal-oil lamps, and a hardy folk who take the traveller in against the killing cold. Cramped and smoky, but astonishingly warm, and the welcome is genuine.","2","0","80"
"overnight","","town","73","","","A Lossoth village of the ice: houses of packed snow and whalebone, seal-oil lamps, and a hardy folk who take the traveller in against the killing cold. Cramped and smoky, but astonishingly warm, and the welcome is genuine.","2","0","80"
"overnight","","village","62","","","A Rohirrim village of the plains, timber halls and horse-paddocks under the wide sky. The Riders give rough, warm hospitality — mead, meat and a place by the fire — to any they do not count an enemy. Rest is easy on the open grass-land.","3","0","80"
"overnight","","town","62","","","A Rohirrim village of the plains, timber halls and horse-paddocks under the wide sky. The Riders give rough, warm hospitality — mead, meat and a place by the fire — to any they do not count an enemy. Rest is easy on the open grass-land.","3","0","80"
"overnight","","","","hobbit","","A night in the open Shire-country: a hedge for a windbreak, a field of stubble, and the friendly dark of a settled land where nothing worse than a curious fox prowls. Rest is easy and safe.","2","0","20"
"overnight","","","","gondorian","","A night at large in settled Gondor: a roadside copse or a fallow field, the land tamed and safe, a small fire and the distant lights of a farmstead. Rest comes easy under a mild sky.","2","0","20"
"overnight","","","","dunadan_north","","A night in the open lands of the old north-kingdom: a hollow out of the wind, a careful fire, and the ruins of Arnor somewhere in the dark. Rest is plain and watchful in a lonely, haunted country.","2","0","20"
"overnight","","","","northman","","A night on the open grass and river-land of the Northmen: a fire of dung or driftwood, the wide sky, and the distant sound of herds. The country is half-wild but not unkind; rest comes fair.","2","0","20"
"overnight","","","","sindar","","A night in the quiet Elf-haunted country of Lindon: a sheltered dell, the hush of an old and peaceful land, and perhaps far-off Elvish song on the wind. Rest is calm and clean.","2","-1","20"
"overnight","","","","dunlending","","A night in the rough hill-country of Dunland: a stony hollow, a small wary fire, and the sense of unfriendly eyes on the slopes. Rest is thin in a land that resents strangers.","1","0","20"
"overnight","","","","coastal","","A night on the wild Andrast coast: the boom of surf, a driftwood fire in a cove, salt spray on the wind. Lonely and cold, but the sea's rhythm brings a plain sort of rest.","1","0","20"
"overnight","","","","dwarven","","A night in the stony hill-country near the dwarf-roads: hard ground, a sheltered cleft, and the far-off ring of picks under the mountain. Rest is rough but the country is safe enough.","2","0","20"
"overnight","","","","wild_mountain","","A night high in the Misty Mountains' folds: bitter cold, a cheerless fire among boulders, and the ever-present risk of what dens in the heights. Rest is broken and watchful.","1","1","20"
"overnight","","","","wild_wose","","A night in the deep Druadan woods: dense cover, no fire lest it draw notice, and the unseen watchfulness of the Woses all around. Rest is light and green-scented, wary but not unsafe if they allow it.","1","0","20"
"overnight","","","","enemy","","A night at large in the enemy's country: no fire, no ease, only cover scraped from broken ground and the shallow doze of the hunted. The shadow presses and rest will not come.","0","2","20"
"overnight","","","","lossoth","","A night on the frozen plain: a scrape in the snow, no wood to burn, the aurora cold overhead and the wind constant. Survival more than rest, but the silence is clean.","1","0","20"
"overnight","","","","wild","","A night in wild, unpeopled country: whatever cover the land affords, a small fire if there is wood, and the ordinary sounds of the dark. Rest is plain and undisturbed.","1","0","20"
"overnight","","inn","","","","A common roadside inn: a bed, a hot meal and ale, the murmur of other travellers and the creak of the sign in the wind. Plain but sufficient; a traveller sleeps warm and safe enough.","3","0","10"
"overnight","","town","","","","A town lodging of some kind — an inn, a hall, a let room — offering a bed, food and the safety of walls and neighbours. Rest comes easy in settled country.","3","0","10"
"overnight","","village","","","","A village family gives the traveller shelter for a coin or a tale: a corner of the barn or a pallet by the fire, plain food, and cautious hospitality. The night passes quietly.","2","0","10"
"overnight","","ruins","","","","A ruin gives cover but no comfort: broken walls against the wind, a fire among fallen stones, and the long silence of a dead place. Rest is uneasy amid the ghosts of what once stood here.","1","1","10"
"overnight","","fortress","","","","A fortress gives a soldier's welcome: a cot in the barracks, plain rations, and the discipline of the watch. Austere and safe behind thick walls.","2","0","10"
"overnight","","watchtower","","","","A watchtower offers a spare bunk in the guardroom and the company of the watch; cramped and vigilant, but safe under watching eyes.","2","0","10"
"overnight","","castle","","","","A castle gives lordly if formal shelter: a guest-room, a seat at the table, and the etiquette of the hall. Comfortable and safe within stone walls.","3","0","10"
"overnight","","manor","","","","A manor house offers gracious rural hospitality: a guest-bed, a home-cooked supper, and the quiet of a well-kept estate. Rest is comfortable and safe.","3","0","10"
"overnight","","dwarven mine","","","","A dwarf-hold gives blunt, solid welcome beneath the stone: a rock-cut bunk, strong ale, and absolute safety behind doors no enemy could force. Rest is deep and sound.","3","0","10"
"overnight","","point of interest","","","","Whatever shelter the place affords — a hut, a shrine, a lonely steading — gives a plain roof for the night. Rest is simple and quiet.","2","0","10"
"overnight","","city","","gondorian","","A great Gondorian city at night: lamplit stone streets, guest-houses and taverns for every purse, the watch calling the hours. A traveller finds a clean room and good wine easily, amid the ordered bustle of a place that never wholly sleeps.","3","0","60"
"overnight","","fortified city","","gondorian","","A walled Gondorian city, its gates shut at dusk and its streets patrolled. Lodging is secure and comfortable behind the ramparts; the sense of Gondor's disciplined strength lends a soldier's peace to the night.","3","0","60"
"overnight","","town","","gondorian","","A Gondorian market town with a respectable inn: tiled floors, decent fare, a fair bed and the talk of trade and harvest. Orderly and safe, kept by a courteous host and a watch on the streets.","3","0","60"
"overnight","","fortified town","","gondorian","","A walled Gondorian town, its inn snug behind the gate. Merchants and soldiers share the common-room; the bed is fair and the night secure inside the ramparts.","3","0","60"
"overnight","","crossroads","","gondorian","","A busy Gondorian waystation at a road-junction: a large inn thick with travellers, wagoners and news from four directions. Noisy and bustling, but a bed and a hot meal are always to be had.","2","0","60"
"overnight","","inn","","gondorian","","A Gondorian roadside inn, clean and respectable, with good wine and a fair bed. The keeper is courteous and the talk turns on trade, taxes and distant lords.","3","0","60"
"overnight","","manor","","gondorian","","A Gondorian manor house of a minor noble: a guest-chamber with linen sheets, a home-cooked supper at the family table, and the quiet of a well-kept country estate. Gracious and restful.","3","0","60"
"overnight","","castle","","gondorian","","A Gondorian castle receives the traveller by rank: a stone guest-room, a formal supper in the hall, servants and courtesy. Comfortable and utterly safe within thick walls.","3","0","60"
"overnight","","keep","","gondorian","","A Gondorian keep, more stronghold than home: a plain guest-cell, soldier's fare shared at the lord's board, and the tramp of the watch on the walls. Spare but dignified and safe.","2","0","60"
"overnight","","citadel","","gondorian","","A Gondorian citadel of the White Mountains' passes: austere quarters, disciplined hospitality, and the cold clean air of the heights. A traveller of standing sleeps safe under the banner of the Stewards.","2","0","60"
"overnight","","palace","","gondorian","","A Gondorian palace where a guest of rank is lodged in tapestried chambers, dined with ceremony and attended by servants. Magnificent and safe, if a little stiff with etiquette.","3","0","60"
"overnight","","fortress","","gondorian","","A Gondorian fortress: a cot in the barracks, army rations, and the changing watch through the night. Austere and orderly, safe behind thick walls though broken by the guard's tread.","2","0","60"
"overnight","","watchtower","","gondorian","","A Gondorian watchtower on the marches: a bunk in the guardroom, a soldier's supper, and the beacon ready above. Cramped and vigilant, safe under watching eyes.","2","0","60"
"overnight","","village","","gondorian","","A Gondorian farming village gives plain hospitality: a corner of the barn or a let room, bread and cheese and cautious courtesy. The settled land is safe and the night passes quietly.","2","0","60"
"overnight","","point of interest","","gondorian","","Whatever shelter a lonely Gondorian steading or shrine affords: a plain roof, simple food, and the quiet of the tilled country. Rest is simple and safe.","2","0","60"
"overnight","","town","","dunadan_north","","A sober Dunadan town of the north: a plain, clean inn kept by grave folk who ask little, a firm bed and simple fare. Dignity and a quiet melancholy hang over the half-empty streets of a fading realm.","3","0","60"
"overnight","","fortified town","","dunadan_north","","A walled Dunadan town of the north, its gate barred against the wild. The inn is spare and orderly, the welcome grave; behind the ramparts a traveller sleeps safe in a watchful land.","3","0","60"
"overnight","","city","","dunadan_north","","A Dunadan city of the old north-kingdom, grander in memory than in fact: stone guest-halls, plain good food, and the grave courtesy of a proud, dwindling people. Safe and dignified beneath the weight of lost Arnor.","3","0","60"
"overnight","","fortified city","","dunadan_north","","A walled Dunadan city of the north, its concentric ramparts enclosing orderly streets. Lodging is secure and grave; the men are tall and solemn, heirs of Numenor keeping the long watch.","3","0","60"
"overnight","","inn","","dunadan_north","","A lonely Dunadan waystation of the north road: clean, plain, and orderly, the host asking no questions. A firm bed and a quiet night in a haunted, empty country.","3","0","60"
"overnight","","manor","","dunadan_north","","A Dunadan manor of the north: a guest-bed, a solemn supper, and the grave hospitality of a noble house that remembers better days. Restful and safe, if touched with melancholy.","3","0","60"
"overnight","","castle","","dunadan_north","","A Dunadan lord's castle of the north: a seat at the long table, meat and bread, a bed in the guest-range. Grave and formal, safe behind old stone, cold with the memory of Arnor.","3","0","60"
"overnight","","keep","","dunadan_north","","A Dunadan keep of the marches: a plain cell, soldier's fare, the watch changing through cold hours. Spare and vigilant under the eyes of the Rangers.","2","0","60"
"overnight","","citadel","","dunadan_north","","A Dunadan citadel holding the old borders: austere, watchful, its small garrison grave and disciplined. Safe but cheerless in a land under threat.","2","0","60"
"overnight","","fortress","","dunadan_north","","A Dunadan fortress of the north: a bunk in the guardroom, plain rations, the long watch. Austere and safe, kept by silent, capable men.","2","0","60"
"overnight","","watchtower","","dunadan_north","","A Dunadan watch-post of the north: a cot in a cold tower, a Ranger's spare welcome, the dark country watched below. Safe under vigilant eyes.","2","0","60"
"overnight","","village","","dunadan_north","","A Dunadan steading of the north takes the traveller in warily but honourably: a place by the fire, a share of the pot, a bed of straw. Grave border-folk, but the welcome is true.","2","0","60"
"overnight","","point of interest","","dunadan_north","","A lonely Dunadan croft or old waymark of the north: plain shelter, simple food, and the haunted quiet of a country that was once a kingdom.","2","0","60"
"overnight","","town","","northman","","A Northman town thick with woodsmoke and horse-smell, its hall-inn loud with the talk of herders and rivermen. Mead, roast meat, and a bench or a pile of hides to sleep on among a hardy, open people.","3","0","60"
"overnight","","city","","northman","","A Northman trading-town grown large on river and road: a busy hall-inn, mead and meat and boasting late into the night, and a warm if noisy place to sleep among horse-folk and merchants.","2","0","60"
"overnight","","inn","","northman","","A Northman hall-inn by the road: smoke, mead, roasting meat, and a place by the long-fire. Warm and loud, the welcome rough and genuine.","3","0","60"
"overnight","","hall","","northman","","A Northman chieftain's hall of timber and thatch, where a traveller is feasted or weighed by the season's mood. Mead and meat and firelight; warm, loud, and safe among friends.","3","0","60"
"overnight","","manor","","northman","","A Northman lord's steading, half-hall half-farm: a seat at the fire, a hearty supper, a bed of hides. Proud independent folk, generous once trust is given.","2","0","60"
"overnight","","castle","","northman","","A Northman fortified hall on the plains: earthwork and timber, a warm smoky interior, mead passed round the fire. Rough but safe, the welcome open to a proven friend.","2","0","60"
"overnight","","village","","northman","","A Northman village of the grass or river-land: a family hall of straw and peat, a bowl of stew, a bed of hides. Wary of strangers but warm once you are let in.","2","0","60"
"overnight","","fortress","","northman","","A Northman war-camp or stockade: earthworks, a rough barracks, plain fare and the watch on the palisade. Spare and vigilant against raiders, but safe within.","2","0","60"
"overnight","","point of interest","","northman","","A lone Northman herder's camp or river-jetty: a fire, a share of the pot, the wide dark of the plains. Rough hospitality under an open sky.","2","0","60"
"overnight","","town","","hobbit","","A Hobbit town such as Bree-folk know: a cheerful inn with a roaring hearth, more supper than a tall man expects, dark ale and soft (if short) beds. The talk is all crops, cousins and neighbours; sleep comes warm and easy.","3","-1","60"
"overnight","","village","","hobbit","","A Hobbit family takes the traveller in, half from kindness, half from curiosity: a place by the kitchen fire, a heaped plate, a bed of quilts in a round-doored smial. Warm, genuine, deeply peaceful.","3","-1","60"
"overnight","","inn","","hobbit","","A snug Hobbit inn: low beams, a roaring fire, endless courses of supper and excellent ale. Beds soft if short; a traveller sleeps warm and wakes well-fed.","3","-1","60"
"overnight","","point of interest","","hobbit","","A Hobbit-hole or roadside farm opens its round door: a plate by the fire and a quilted bed. Homely and utterly safe.","3","-1","60"
"overnight","","town","","sindar","","A Sindarin settlement of the Grey-elves: cool ancient courtesy, soft light, a spare and lovely room, food simple and restoring. No tavern-clamour, only the stillness of a people who measure time in ages. Sleep is calm and clear.","3","-1","60"
"overnight","","city","","sindar","","A Sindarin haven-city by the sea, graceful and quiet: a clean spare room above the quays, the sound of tide and rigging, and a stillness so old it steadies the heart.","3","-1","60"
"overnight","","village","","sindar","","A scattered Elven dwelling among the trees: a bed of woven things, starlight through leaves, distant Elvish song. Reserved but gracious; rest soothes more than the body.","3","-1","60"
"overnight","","manor","","sindar","","A Sindarin lord's house, spare and beautiful: grave welcome, restoring food, a lovely quiet room. The hospitality is measured but deep, and rest is clear and calm.","3","-1","60"
"overnight","","point of interest","","sindar","","A hidden Elven hamlet of the Grey-elves: a handful of timber-and-stone houses among the trees, quietude and careful order, and a rest that eases the spirit.","3","-1","60"
"overnight","","village","","silvan","","The Wood-elves give shelter on their terms: a platform among the boughs or a screened hollow, spare woodland fare, watchful half-wild courtesy. Rest is light and green-scented, never wholly off-guard.","2","-1","60"
"overnight","","town","","silvan","","A Silvan gathering-hall deep in the wood, lit by hanging lamps, the wood-elves feasting and singing late. A traveller is tolerated more than welcomed, given a corner and food, lulled by song into pleasant but watchful rest.","2","-1","60"
"overnight","","point of interest","","silvan","","A wood-elf outpost among the great trunks: a screened camp, a share of forest fare, and the watchful courtesy of a half-wild people. Green and light, if never quite at ease.","2","-1","60"
"overnight","","manor","","high_elven","","A house of the High Elves, all grace and quiet power: the guest lodged with grave honour, food that restores the spirit, the very air lightening the heart. Sleep is deep and healing, and shadow loosens.","3","-2","60"
"overnight","","city","","high_elven","","A High-Elven city of light and song: lodging of rare beauty, restoring food, and a peace so profound that weariness and dread fall away together. Rest here truly heals.","3","-2","60"
"overnight","","point of interest","","high_elven","","A High-Elven refuge hidden from the world: grave welcome, healing rest, and the sense of stepping briefly outside of time and sorrow.","3","-2","60"
"overnight","","village","","dunlending","","A Dunlending steading gives grudging shelter: a corner of the byre, coarse bread, and the wary unfriendly eyes of a people with long grudges. Cold welcome, uneasy night, but the roof keeps off the rain.","1","0","60"
"overnight","","town","","dunlending","","A rough Dunlending hall-town where a stranger is served last and watched hardest: plain fare, sour ale, talk that stops when an outsider listens. Keep your back to the wall.","1","0","60"
"overnight","","point of interest","","dunlending","","A lone Dunlending croft in the hills: grudging shelter, coarse fare, and suspicious eyes. Uneasy but dry.","1","0","60"
"overnight","","dwarven mine","","dwarven","","A Dwarf-hold beneath the mountain: stone chambers warm with forge-heat, strong ale, roast meat, the deep song of the delvings. A rock-cut bunk and gruff solid welcome; the dark is total, the safety absolute, rest heavy and sound.","3","0","60"
"overnight","","town","","dwarven","","A Dwarf-town at the mountain's foot: stone halls, forge-glow, strong drink and blunt hospitality. A traveller sleeps safe and warm behind doors of iron-bound oak.","3","0","60"
"overnight","","point of interest","","dwarven","","A Dwarven waystation or guard-post at a mine-road: spare stone quarters, strong ale, and blunt but genuine welcome. Safe and sound.","3","0","60"
"overnight","","village","","coastal","","A coastal fisher-family shares its stone house: a place by the driftwood fire, fish and hard bread, a pallet smelling of salt and net-tar. Humble and quiet Dunir folk; the sea rocks the traveller to sleep.","2","0","60"
"overnight","","point of interest","","coastal","","A lone fisher's hut in a sheltered cove: driftwood fire, salt fish, the boom of surf through the night. Humble shelter, plain rest.","2","0","60"
"overnight","","village","","wild_wose","","If the Woses permit it, shelter at the edge of their hidden hollows: a screened hollow, forest fare, and the unseen watchfulness of a secretive people. Wary but not unkind to a proven friend; rest light and green.","2","0","60"
"overnight","","point of interest","","wild_wose","","A Druadan hidden camp among the pukel-stones: a screened hollow, silent hosts, and the watchful hush of the deep wood. Safe if they allow it.","2","0","60"
