id,"desc",temperature,precipitation,koppen,analog_location,analog_lat,analog_lon,created_at
47,,"Cool to mild winters and warm summers, moderated by proximity to the Glanduin and the western lowlands rather than high mountain plateaus.","Regular rain spread across the year, sufficient to sustain grain fields, vineyards, orchards, and scattered woodlands; heavy snows are more typical in the nearby mountains than in the cultivated lowlands around Ost-in-Edhil.",Cfb,"Eifel, Rhineland, Germany",50.37,6.65,2026-06-09T23:42:28.073Z
48,,"Cool winters and warm but not scorching summers, moderated by the surrounding mountains and river system.","Reliable rainfall across most of the year, enough to maintain dense deciduous and mallorn forests and a lush understorey; fogs and mists are common near the river.",Cfb,"Białowieża Forest, Poland",52.7,23.86,2026-06-09T23:42:28.074Z
49,,"Long, severe winters with frequent frosts and snow, short cool summers; tundra and windswept highlands dominate much of the region.","Irregular rain and snow over poor soils, with moisture concentrated in mountain valleys and along streams; blizzards and freezing rain are common in winter.",Dfc,"Jotunheimen valley, Norway",61.6,9.0,2026-06-09T23:42:28.075Z
50,,"Temperatures are tempered by the sea; coastal areas are cooler in summer and milder in winter than inland Gondor, while high mountain valleys in the Ered Tarthonion experience cooler, more alpine conditions.","Sea‑driven storms and onshore winds bring regular rain to the coastal belt and windward highlands, while leeward valleys are somewhat drier; marshes and river deltas around the Morthond provide humid microclimates.",Csa,"Alentejo, Portugal",38.57,-7.9,2026-06-09T23:42:28.076Z
51,,"Winter endures nearly half the year, bringing deep snows to foothills and mountains; spring and fall are short, while summers are cool in the highlands but warm enough in the lowlands to melt snow and create extensive swamp.","Storms with heavy snow and rain are common, especially where warm valley air meets northern cold; lightning often strikes Gundabad’s peaks, and the advancing and retreating Oglorb Glacier scours slopes as it melts and grinds forward.",Dfc,"Gällivare, Lapland, Sweden",67.13,20.66,2026-06-09T23:42:28.077Z
52,,"Mean annual temperatures range between 35°F and 50°F. Winters are extremely cold, with average lows in Narwain (January) reaching down to -10°F, while average summer highs in Urui (July) reach 80°F. Rapid temperature drops of 3.6°F per 1,000 feet of altitude are common.","Average annual precipitation is 30–40 inches. Western slopes, facing the sea, receive substantial rainfall and snow, which feed cold glacial ice fields and snowfields that remain year-round on the taller northern peaks.",Dfc,"Voss, Norway",60.63,6.42,2026-06-09T23:42:28.078Z
53,,"Winters are cold and snow-filled due to cold air pooling in the valleys, while summers are brief and mild. Mean temperature averages 40–50°F.","Precipitation is moderate (30-40 inches), with heavy winter snowfall blocking passes and keeping valley floors damp and green.",Cfb,"Connemara Highlands, Ireland",53.47,-9.95,2026-06-09T23:42:28.079Z
54,,"Lows of around 15°F in winter and pleasant, cool summer highs reaching 75°F. The mean annual temperature is 50–60°F, providing a prolonged spring and soft autumn.","High precipitation of 40–60 inches annually, with frequent sea-mists and rainstorms coming off Belegaer.",Cfb-Cfc,"West Cornwall, England",50.12,-5.54,2026-06-09T23:42:28.081Z
55,,"Very mild coastal winters with temperatures rarely dropping below freezing, and cool, misty summers averaging 50-65°F.","Abundant annual rainfall (45–60 inches), with thick morning sea-mists common year-round.",Cfb,"Connemara, Galway, Ireland",53.54,-9.8,2026-06-09T23:42:28.082Z
56,,"Winters are mild with very rare frosts due to the moderating influence of the sea, while summers are cool, humid, and windy. Mean annual temperature ranges from 45°F to 55°F.","High annual precipitation of 45–60 inches, with frequent drizzle, heavy coastal rainstorms, and thick maritime fogs blanketting the hills.",Cfb,"Pembrokeshire, SW Wales",51.68,-4.91,2026-06-09T23:42:28.083Z
57,,"Relatively mild winters and cool, shaded summers. Mean temperatures range from 45°F to 55°F, with the dense oak canopy preventing direct sunlight from scorching the forest floor.","Regular rainfall of 25–45 inches annually, supplemented by thick morning mists rising from the Drúnen River and the mountain glens.",Csb,"Maremma Toscana, Grosseto, Italy",42.75,11.1,2026-06-09T23:42:28.084Z
58,,"Winters are cool and damp but rarely severe, with mean temperatures around 50–60°F. Summers are long, warm, and highly sunny, providing the perfect growing season for extensive viticulture.","Abundant annual precipitation of 35–50 inches, falling as frequent light spring rains and heavy morning mists from the Celduin and Uldona valleys.",BSk-Dfb,"Sea of Azov coast, Ukraine",46.85,38.0,2026-06-09T23:42:28.085Z
59,,"Mean annual temperatures range between 45°F and 55°F. Summers are warm and breezy (70–80°F), while winters bring freezing, snow-blown winds from the northeast across the Sea of Rhûn.","Moderate annual precipitation of 20–35 inches, characterized by sudden, intense spring downpours and light winter snow.",BSk,"Poltava Oblast, Ukraine (steppe)",49.6,34.55,2026-06-09T23:42:28.087Z
60,,"Short, cool summers and long, dark, and severe winters with frequent snowstorms. Mean annual temperature is 35–45°F.","Plentiful winter snow and moderate summer rain (20-30 inches), with thick frost.",Dfb,"Prešov, Slovakia",49.0,21.24,2026-06-09T23:42:28.088Z
61,,"Very hot, dry summers where temperatures easily exceed 85°F on the open steppes, and freezing, harsh winters with severe frost and biting winds. Mean annual temperature is 45–55°F.","Low to moderate annual precipitation of 15–25 inches, falling mostly as sparse winter snow and sudden, violent summer thunderstorms.",Csa,"Extremadura, Cáceres, Spain",39.47,-6.37,2026-06-09T23:42:28.089Z
62,,"Searing summer highs on the Gorgoroth plains reach up to 120°F, while winters drop to a mild 25°F under dark ash-laden skies.","Extremely dry with rare rainfall (5–20 inches), evaporating almost instantly on the volcanic slopes.",BWh,"Doğubayazıt, Eastern Anatolia, Turkey",39.55,44.08,2026-06-09T23:42:28.089Z
63,,Warm throughout the year with very hot summers (90–100°F) and mild winters.,Low annual rainfall (10–20 inches) heavily supplemented by run-off from the surrounding mountain ranges.,BSh-BSk,"Lake Urmia basin, NW Iran",37.5,45.5,2026-06-09T23:42:28.090Z
64,,"Pleasant, warm summers (80–90°F) and cold, snow-bound winters.","Moderate to high annual precipitation (25–45 inches) spread across the seasons, with regular spring rains.",Dfb,"Morava valley, Czech Republic",49.2,17.0,2026-06-09T23:42:28.090Z
65,,"Winters are exceptionally cold and snow-prone, with winds blowing down from the northern wastes.",Precipitation falls heavily as winter snow and damp spring rains.,Cfb-cold,"Northumberland, England",55.5,-2.0,2026-06-09T23:42:28.091Z
66,,"Mild, short winters and warm, beautiful summers.","Adequate winter rains with dry, sunny summers.",Csb,"Gard, Provence, France",43.95,4.4,2026-06-09T23:42:28.092Z
67,,Damp and stable year-round inside the deeper caverns.,No precipitation; damp walls and underground rivers like the Silverlode flow from the snowpack above.,,,,,2026-06-09T23:42:28.093Z
68,,"Winters are extremely harsh, with freezing winds blowing off the Ice Bay of Forochel.","Low annual precipitation, mostly falling as dry, powdery snow.",Cfc,"Letterkenny, Donegal, Ireland",54.95,-7.74,2026-06-09T23:42:28.093Z
69,,"Mild and shaded summers, damp and foggy winters.","Evenly distributed rain, with heavy ground mist and stagnant humidity.",Cfb,"New Forest, Hampshire, England",50.87,-1.6,2026-06-09T23:42:28.095Z
70,,"Winters are chilly with occasional blizzards, while summers are bright, warm, and windy.","Moderate rainfall, mostly in spring, with winter snowpack.",Dfb,"Zlín region, Moravia, Czech Republic",49.22,17.67,2026-06-09T23:42:28.095Z
71,,"Extreme temperature swings, with summers reaching 90°F and winters dropping below zero.","Low to moderate rainfall, mostly in spring, with light winter snow.",Dfb,"Zlín region, Moravia, Czech Republic",49.22,17.67,2026-06-09T23:42:28.096Z
72,,"Mild winters with rare frost, and cool, bright, and beautiful summers.","Abundant, gentle rainfall evenly spread throughout the year.",Cfb,"Clare/Burren, W Ireland",53.12,-9.06,2026-06-09T23:42:28.097Z
73,,"Average temperatures in the north range from 20°F to 80°F, while the southern Bay of Belfalas remains mild and warm, averaging 50-60°F year-round.","Abundant precipitation of 40-60 inches annually, falling as light drizzle, coastal fog, and heavy seasonal autumn downpours.",,,,,2026-06-09T23:42:28.098Z
74,,"Average temperatures remain below freezing for most of the year, with bitter frost-bite winds and sudden drops down to -20°F.","Low precipitation of 10-20 inches annually, mostly as dry, wind-blown snow.",Cfb-cold,"Northumberland, England",55.25,-2.1,2026-06-09T23:42:28.098Z
75,,"Coastlands range roughly 35–50°F in midwinter (Narwain) up to 70–85°F in midsummer (Cerveth–Urui); inland vales are similar but slightly cooler in winter; mountain habitable zones (1,000–3,000 ft) run about 5–15°F cooler at all seasons, with snow common in winter.[file:73]","The coast and inland vales receive moderate to normal rain year-round, heaviest in autumn (Narbeleth) and throughout winter and spring (Hithui–Gwirith); summer months (Cerveth–Urui) are the driest with only moderate rain; mountains follow the same pattern but with heavier precipitation and snowfall in winter.[file:73]",Cfb-coastal,"Cape Finisterre, Galicia, Spain",42.88,-9.27,2026-06-09T23:51:35.611Z
76,,"Coastlands range roughly 35–50°F in midwinter (Narwain) up to 70–85°F in midsummer (Cerveth–Urui); inland vales are similar but slightly cooler in winter; mountain habitable zones (1,000–3,000 ft) run about 5–15°F cooler at all seasons, with snow common in winter.[file:73]","The coast and inland vales receive moderate to normal rain year-round, heaviest in autumn (Narbeleth) and throughout winter and spring (Hithui–Gwirith); summer months (Cerveth–Urui) are the driest with only moderate rain; mountains follow the same pattern but with heavier precipitation and snowfall in winter.[file:73]",Csa,"Languedoc coast, Hérault, France",43.4,3.7,2026-06-09T23:51:35.614Z
77,,"The Traveller’s Guide climate table distinguishes three representative bands in western Eriador: (1) Duneriador-type inland zones with average lows around 0° in Ninui (late winter) and highs near 80° in Ivanneth (early autumn), mean 45–60°; (2) Ered Luin with winter lows down to -10° in Narwain and summer highs about 80° in Urui, mean 35–50°; and (3) the 'Elven Sea' coastal strip (Mithlond and nearby shore) with lows about 15° in Ninui and highs around 75° in Urui, mean 50–60°. These values place Lindon squarely in a maritime-temperate regime, with harsher winters restricted to the mountains.[file:99]","Annual precipitation in both Duneriador-like inland zones and the Ered Luin is about 30–40 inches, while the Elven Sea coastal band receives 40–60 inches due to moist sea air and orographic lift on the Blue Mountains. Rain is frequent year-round, with snow common in the Ered Luin during severe winters such as the Long Winter and Fell Winter mentioned in the realm’s history.[file:99]",Cfc,"Donegal, NW Ireland",54.65,-8.11,2026-06-09T23:51:35.615Z
78,,"The Traveller’s Guide climate table distinguishes three representative bands in western Eriador: (1) Duneriador-type inland zones with average lows around 0° in Ninui (late winter) and highs near 80° in Ivanneth (early autumn), mean 45–60°; (2) Ered Luin with winter lows down to -10° in Narwain and summer highs about 80° in Urui, mean 35–50°; and (3) the 'Elven Sea' coastal strip (Mithlond and nearby shore) with lows about 15° in Ninui and highs around 75° in Urui, mean 50–60°. These values place Lindon squarely in a maritime-temperate regime, with harsher winters restricted to the mountains.[file:99]","Annual precipitation in both Duneriador-like inland zones and the Ered Luin is about 30–40 inches, while the Elven Sea coastal band receives 40–60 inches due to moist sea air and orographic lift on the Blue Mountains. Rain is frequent year-round, with snow common in the Ered Luin during severe winters such as the Long Winter and Fell Winter mentioned in the realm’s history.[file:99]",Cfb-Cfc,"Kerry, SW Ireland",51.97,-9.52,2026-06-09T23:51:35.616Z
79,,"The Traveller’s Guide climate table distinguishes three representative bands in western Eriador: (1) Duneriador-type inland zones with average lows around 0° in Ninui (late winter) and highs near 80° in Ivanneth (early autumn), mean 45–60°; (2) Ered Luin with winter lows down to -10° in Narwain and summer highs about 80° in Urui, mean 35–50°; and (3) the 'Elven Sea' coastal strip (Mithlond and nearby shore) with lows about 15° in Ninui and highs around 75° in Urui, mean 50–60°. These values place Lindon squarely in a maritime-temperate regime, with harsher winters restricted to the mountains.[file:99]","Annual precipitation in both Duneriador-like inland zones and the Ered Luin is about 30–40 inches, while the Elven Sea coastal band receives 40–60 inches due to moist sea air and orographic lift on the Blue Mountains. Rain is frequent year-round, with snow common in the Ered Luin during severe winters such as the Long Winter and Fell Winter mentioned in the realm’s history.[file:99]",Cfb-Cfc,"West Cork, Ireland",51.67,-9.46,2026-06-09T23:51:35.616Z
80,,"The Traveller’s Guide climate table distinguishes three representative bands in western Eriador: (1) Duneriador-type inland zones with average lows around 0° in Ninui (late winter) and highs near 80° in Ivanneth (early autumn), mean 45–60°; (2) Ered Luin with winter lows down to -10° in Narwain and summer highs about 80° in Urui, mean 35–50°; and (3) the 'Elven Sea' coastal strip (Mithlond and nearby shore) with lows about 15° in Ninui and highs around 75° in Urui, mean 50–60°. These values place Lindon squarely in a maritime-temperate regime, with harsher winters restricted to the mountains.[file:99]","Annual precipitation in both Duneriador-like inland zones and the Ered Luin is about 30–40 inches, while the Elven Sea coastal band receives 40–60 inches due to moist sea air and orographic lift on the Blue Mountains. Rain is frequent year-round, with snow common in the Ered Luin during severe winters such as the Long Winter and Fell Winter mentioned in the realm’s history.[file:99]",Cfc,"Donegal, NW Ireland",54.65,-8.11,2026-06-09T23:51:35.617Z
81,,"Historically cool but not brutal, with fresh summers and cold winters moderated by sea winds from the Gulf of Lhûn; after the Great Plague winters lengthen and hold snow into late season while summers arrive suddenly and can scorch the land for weeks.[file:25]","The kingdom is well-watered by the Lhûn, Baranduin, and many streams, with regular rain and occasional snow in most regions, heavier snow and ice in the far north toward Forochel, and persistent mist and dampness in places like the Midgewater Marshes and the Barrow-downs.[file:25]",Cfb,"Cotswolds, Gloucestershire, England",51.83,-1.82,2026-06-09T23:51:35.617Z
82,,"The Traveller’s Guide climate table distinguishes three representative bands in western Eriador: (1) Duneriador-type inland zones with average lows around 0° in Ninui (late winter) and highs near 80° in Ivanneth (early autumn), mean 45–60°; (2) Ered Luin with winter lows down to -10° in Narwain and summer highs about 80° in Urui, mean 35–50°; and (3) the 'Elven Sea' coastal strip (Mithlond and nearby shore) with lows about 15° in Ninui and highs around 75° in Urui, mean 50–60°. These values place Lindon squarely in a maritime-temperate regime, with harsher winters restricted to the mountains.[file:99]","Annual precipitation in both Duneriador-like inland zones and the Ered Luin is about 30–40 inches, while the Elven Sea coastal band receives 40–60 inches due to moist sea air and orographic lift on the Blue Mountains. Rain is frequent year-round, with snow common in the Ered Luin during severe winters such as the Long Winter and Fell Winter mentioned in the realm’s history.[file:99]",Cfc,"Bergen, Norway",60.39,5.32,2026-06-09T23:51:35.618Z
83,,"Temperature drops at approximately 3.6°F per 1,000 feet of altitude (up to 5.5°F when air moves rapidly upslope). High mountain vales are colder than exposed slopes at the same altitude because cold air sinks and pools there. The lower High Pass (c.3,500 ft) and upper mountain-path (over 5,000 ft) are frigid in winter and subject to sudden cold snaps in any season. The Anduin Vales at lower elevation are mild to warm in summer and cold in winter, with more extreme temperature ranges than the foothills due to rain-shadow dryness.[file:88]","Prevailing moist westerlies from the Great Sea collide with cold northerlies from the Ice Bay of Forochel along the western mountain flanks, producing alternating drizzles, cold driving rains, and heavy snowfall in winter. As air rises up the slopes it cools and condenses, generating the perpetual mist and cloud that names the range (Hithaeglir). The Anduin Vales are spared the worst of this, receiving drier conditions under the rain-shadow, supplemented by cool winds from the Ered Mithrin and channeled westerlies through the Gap of Rohan to the south. Both branches of the High Pass are normally blocked by snow from Hithui to Gwirith (late autumn to early spring).[file:88]",Dfb,"Wachau, Lower Austria",48.37,15.43,2026-06-09T23:51:35.618Z
84,,"Temperature drops at approximately 3.6°F per 1,000 feet of altitude (up to 5.5°F when air moves rapidly upslope). High mountain vales are colder than exposed slopes at the same altitude because cold air sinks and pools there. The lower High Pass (c.3,500 ft) and upper mountain-path (over 5,000 ft) are frigid in winter and subject to sudden cold snaps in any season. The Anduin Vales at lower elevation are mild to warm in summer and cold in winter, with more extreme temperature ranges than the foothills due to rain-shadow dryness.[file:88]","Prevailing moist westerlies from the Great Sea collide with cold northerlies from the Ice Bay of Forochel along the western mountain flanks, producing alternating drizzles, cold driving rains, and heavy snowfall in winter. As air rises up the slopes it cools and condenses, generating the perpetual mist and cloud that names the range (Hithaeglir). The Anduin Vales are spared the worst of this, receiving drier conditions under the rain-shadow, supplemented by cool winds from the Ered Mithrin and channeled westerlies through the Gap of Rohan to the south. Both branches of the High Pass are normally blocked by snow from Hithui to Gwirith (late autumn to early spring).[file:88]",ET-mountain,"Gotthard Pass, Switzerland",46.55,8.57,2026-06-09T23:51:35.619Z
85,,"Temperature drops at approximately 3.6°F per 1,000 feet of altitude (up to 5.5°F when air moves rapidly upslope). High mountain vales are colder than exposed slopes at the same altitude because cold air sinks and pools there. The lower High Pass (c.3,500 ft) and upper mountain-path (over 5,000 ft) are frigid in winter and subject to sudden cold snaps in any season. The Anduin Vales at lower elevation are mild to warm in summer and cold in winter, with more extreme temperature ranges than the foothills due to rain-shadow dryness.[file:88]","Prevailing moist westerlies from the Great Sea collide with cold northerlies from the Ice Bay of Forochel along the western mountain flanks, producing alternating drizzles, cold driving rains, and heavy snowfall in winter. As air rises up the slopes it cools and condenses, generating the perpetual mist and cloud that names the range (Hithaeglir). The Anduin Vales are spared the worst of this, receiving drier conditions under the rain-shadow, supplemented by cool winds from the Ered Mithrin and channeled westerlies through the Gap of Rohan to the south. Both branches of the High Pass are normally blocked by snow from Hithui to Gwirith (late autumn to early spring).[file:88]",Cfb-cold,"Yorkshire Dales, N England",54.22,-2.15,2026-06-09T23:51:35.621Z
86,,"Springs and summers last less than four months; temperatures in the Narrows may briefly reach 75–90°F in high summer, while winter lows across the mountains and Northern Waste often drop to −25 to −50°F, with little or no daylight at midwinter in the far north.[file:38]","Precipitation is plentiful through most of the year, falling mainly as snow; rain occurs regularly only during the warmer months, with the Narrows receiving moderate to very heavy monthly precipitation in spring and summer and the Grey Mountains and Northern Waste receiving frequent snow, hail and sleet.[file:38]",Dfb,"Nowy Targ, Lesser Poland, Poland",49.48,20.03,2026-06-09T23:51:35.621Z
87,,"In Southern Mirkwood itself and Nan Anduin, mean annual temperatures are about 45–55°F; the southern Rhovanion plain shares similar means (45–55°F), while Dagorlad averages 50–60°F; winters on the plains are snow-blown and freezing, and since the 11th century T.A. winter snows have begun to linger in the forest around Dol Guldur.","Annual precipitation within Mirkwood and on the southern Rhovanion plain is about 20–40 inches, somewhat higher in Nan Anduin (25–45 inches) and lower on Dagorlad (15–35 inches); the Talath Harroch sees long dry spells punctuated by intense spring downpours called ‘fonwindar’, while the forest and river-vales receive more evenly distributed rain.",Dfb,"Polesie, Belarus/Ukraine border",52.1,27.5,2026-06-09T23:51:35.621Z
88,,"In the Highlands, winters are cold and wet with regular heavy snows from late autumn into early spring, while early summer brings warm days and pleasantly cool nights; the Plains and Gwathló basin see somewhat warmer winters with frequent melt‑offs and warm to hot, humid early summers that become more comfortable later in the season.[file:32]","Highland winters receive regular heavy snow, followed in spring by snowmelt‑driven flash floods and fog; summer has occasional gentle rains, while autumn brings massive thunderstorms and dense fogs that can turn to sleet or hail as temperatures drop; the Plains mirror this pattern but with less severe storms, and the Gwathló margins become marshy in spring due to combined rain and mountain runoff.[file:32]",Cfb-Dfb,"Powys, mid-Wales",52.33,-3.52,2026-06-09T23:51:35.622Z
89,,"The highlands of Rhudaur consist of large fells rising up to 1,500 feet above their bases; they are 'classic fells', young, jagged hills created by violent uplift, with little topsoil. Cold winds ('the cool winds and waters of this locale are legend') sweep the Pinefells/Coldfells, implying low winter temperatures with extensive snow cover and short, cool summers. The lowlands of the Angle, though somewhat more hospitable, still suffer constant northeast winds that strip topsoil; only sheltered riverbanks offer relatively fertile microclimates.[file:132]","The Ettendales are noted for poor drainage and many stagnant bogs, especially during spring melt, indicating heavy winter snowfall and significant spring runoff. The Mitheithel becomes a 'raging torrent' in spring as snows of the Ettenmoors and Ettendales melt, remaining swift and difficult to ford even in early fall. Constant rain cascading off the fells erodes topsoil in the Angle, suggesting frequent rainfall or drizzle in all but the coldest months.[file:132]",Cfb,"Białowieża Forest, Poland",52.7,23.86,2026-06-09T23:51:35.622Z
90,,"In the Highlands, winters are cold and wet with regular heavy snows from late autumn into early spring, while early summer brings warm days and pleasantly cool nights; the Plains and Gwathló basin see somewhat warmer winters with frequent melt‑offs and warm to hot, humid early summers that become more comfortable later in the season.[file:32]","Highland winters receive regular heavy snow, followed in spring by snowmelt‑driven flash floods and fog; summer has occasional gentle rains, while autumn brings massive thunderstorms and dense fogs that can turn to sleet or hail as temperatures drop; the Plains mirror this pattern but with less severe storms, and the Gwathló margins become marshy in spring due to combined rain and mountain runoff.[file:32]",Cfb,"Ceredigion, mid-Wales",52.22,-3.94,2026-06-09T23:51:35.622Z
